    ,rider                        ,team                                    ,points2023
401 ,Youcef  Reguigui             ,Terengganu Polygon Cycling Team         ,     216
402 ,James  Oram                  ,Bolton Equities Black Spoke             ,     215
403 ,Pierre  Gautherat            ,AG2R Citroën Team                       ,     215
404 ,Eddy  Finé                   ,Cofidis                                 ,     214
405 ,Lucas  Carstensen            ,Roojai Online Insurance                 ,     213
406 ,Ide  Schelling               ,BORA - hansgrohe                        ,     213
407 ,Lucas  Eriksson              ,Tudor Pro Cycling Team                  ,     212
408 ,Romain  Cardis               ,St Michel - Mavic - Auber93             ,     212
409 ,Iván Ramiro  Sosa            ,Movistar Team                           ,     212
410 ,Thanakhan  Chaiyasombat      ,Thailand Continental Cycling Team       ,     211
411 ,Aaron  Gate                  ,Bolton Equities Black Spoke             ,     211
412 ,Dmitriy  Gruzdev             ,Astana Qazaqstan Team                   ,     210.6
413 ,Robbe  Ghys                  ,Alpecin - Deceuninck                    ,     210.2
414 ,Fausto  Masnada              ,Soudal Quick-Step                       ,     210
415 ,Jonas  Abrahamsen            ,Uno-X Pro Cycling Team                  ,     208
416 ,Joan  Bou                    ,Euskaltel - Euskadi                     ,     207
417 ,Stan  Dewulf                 ,AG2R Citroën Team                       ,     207
418 ,Connor  Swift                ,INEOS Grenadiers                        ,     206.3
419 ,Bart  Lemmen                 ,Human Powered Health                    ,     206
420 ,Daniel  McLay                ,Team Arkéa Samsic                       ,     206
421 ,Koen  Bouwman                ,Jumbo-Visma                             ,     205.9
422 ,Julien  Bernard              ,Lidl - Trek                             ,     205.1
423 ,Fabio  Christen              ,Q36.5 Pro Cycling Team                  ,     204.7
424 ,Marco  Tizza                 ,Bingoal WB                              ,     204
425 ,Jack  Rootkin-Gray           ,Saint Piran                             ,     204
426 ,Hamza  Amari                 ,Q36.5 Continental Team                  ,     203.5
427 ,Gal  Glivar                  ,Adria Mobil                             ,     202
428 ,Dries De Bondt               ,Alpecin - Deceuninck                    ,     201
429 ,Muradjan  Khalmuratov        ,Tashkent City Professional Cycling Team ,     200.3
430 ,Jordan  Jegat                ,CIC U Nantes Atlantique                 ,     200
431 ,Cristian  Raileanu           ,Hengxiang Cycling Team                  ,     200
432 ,Erlend  Blikra               ,Uno-X Pro Cycling Team                  ,     200
433 ,Hamish  McKenzie             ,ARA | Skip Capital                      ,     200
434 ,Andrey  Zeits                ,Astana Qazaqstan Team                   ,     199
435 ,Jordi  Warlop                ,Soudal - Quick-Step Devo Team           ,     199
436 ,Wan Yau Vincent  Lau         ,HKSI Pro Cycling Team                   ,     198.3
437 ,Jon  Barrenetxea             ,Caja Rural - Seguros RGA                ,     198
438 ,Thibault  Guernalec          ,Team Arkéa Samsic                       ,     198
439 ,Filippo  Fortin              ,Maloja Pushbikers                       ,     198
440 ,Nickolas  Zukowsky           ,Q36.5 Pro Cycling Team                  ,     198
441 ,Davide  Bais                 ,EOLO-Kometa                             ,     198
442 ,Ali  Labib Shotorban         ,Mes Sungun - Azad                       ,     196
443 ,Conor  White                 ,Austin Aviators                         ,     195
444 ,Jeroen  Meijers              ,Terengganu Polygon Cycling Team         ,     194
445 ,Iúri  Leitão                 ,Caja Rural - Seguros RGA                ,     194
446 ,Iván  Romeo                  ,Movistar Team                           ,     193.3
447 ,Nikias  Arndt                ,Bahrain - Victorious                    ,     192.1
448 ,Ariya  Phounsavath           ,Roojai Online Insurance                 ,     191
449 ,Sarawut  Sirironnachai       ,Thailand Continental Cycling Team       ,     191
450 ,Oded  Kogut                  ,Israel Premier Tech Academy             ,     191
451 ,Cedrik Bakke  Christophersen ,Team Coop - Repsol                      ,     191
452 ,Alessandro  Covi             ,UAE Team Emirates                       ,     190
453 ,Jakob  Fuglsang              ,Israel - Premier Tech                   ,     190
454 ,Marco  Haller                ,BORA - hansgrohe                        ,     189.1
455 ,Luke  Lamperti               ,Trinity Racing                          ,     189
456 ,Kaden  Hopkins               ,Vendée U                                ,     189
457 ,Hartthijs de Vries           ,TDT - Unibet Cycling Team               ,     189
458 ,Carlos  Verona               ,Movistar Team                           ,     188.1
459 ,Gotzon  Martín               ,Euskaltel - Euskadi                     ,     188
460 ,Valentin  Paret-Peintre      ,AG2R Citroën Team                       ,     188
461 ,Mohcine El Kouraji           ,Al Shafar Jumeirah Cycling Team         ,     188
462 ,Matteo  Badilatti            ,Q36.5 Pro Cycling Team                  ,     188
463 ,Darren  Rafferty             ,Hagens Berman Axeon                     ,     188
464 ,Stefan de Bod                ,EF Education - EasyPost                 ,     187.6
465 ,Patrick  Gamper              ,BORA - hansgrohe                        ,     186.9
466 ,Maximilian  Schachmann       ,BORA - hansgrohe                        ,     186.1
467 ,Pablo  Castrillo             ,Equipo Kern Pharma                      ,     186
468 ,Martijn  Budding             ,TDT - Unibet Cycling Team               ,     186
469 ,Ruslan  Aliyev               ,Almaty Astana Motors                    ,     186
470 ,Davide  Baldaccini           ,Team Corratec - Selle Italia            ,     186
471 ,Milan  Fretin                ,Team Flanders - Baloise                 ,     185
472 ,Renus  Byiza Uhiriwe         ,CR4C Roanne                             ,     185
473 ,Byron  Guamá                 ,Movistar - Best PC                      ,     182.1
474 ,Magnus Bak  Klaris           ,Restaurant Suri - Carl Ras              ,     182
475 ,Nicola  Conci                ,Alpecin - Deceuninck                    ,     181
476 ,Julien  Trarieux             ,China Glory Continental Cycling Team    ,     181
477 ,Nikiforos  Arvanitou         ,Sofer Savini Due OMZ                    ,     181
478 ,Walter  Vargas               ,Team Medellín - EPM                     ,     180
479 ,Mikkel Frølich  Honoré       ,EF Education - EasyPost                 ,     179
480 ,Filippo  Magli               ,Green Project - Bardiani CSF - Faizanè  ,     178
481 ,Martín  Vidaurre             ,Trinity Racing                          ,     178
482 ,Odd Christian  Eiking        ,EF Education - EasyPost                 ,     177
483 ,Martin  Marcellusi           ,Green Project - Bardiani CSF - Faizanè  ,     176
484 ,Sergey  Rostovtsev           ,Beykoz Belediyesi Spor Kulübü           ,     175
485 ,Frederik  Wandahl            ,BORA - hansgrohe                        ,     175
486 ,Thomas  Gloag                ,Jumbo-Visma                             ,     175
487 ,David  Dekker                ,Team Arkéa Samsic                       ,     175
488 ,Lucas  Hamilton              ,Team Jayco AlUla                        ,     174.3
489 ,Paul  Ourselin               ,TotalEnergies                           ,     172
490 ,Jordi  López                 ,Equipo Kern Pharma                      ,     172
491 ,Fernando  Barceló            ,Caja Rural - Seguros RGA                ,     171
492 ,Antoine  Huby                ,Vendée U                                ,     170.5
493 ,Nathan  Earle                ,JCL Team UKYO                           ,     170
494 ,Peerapol  Chawchiangkwang    ,Thailand Continental Cycling Team       ,     169
495 ,Quentin  Pacher              ,Groupama - FDJ                          ,     169
496 ,Alessandro De Marchi         ,Team Jayco AlUla                        ,     169
497 ,Vicente  Rojas               ,Supermercados Froiz                     ,     168
498 ,Kane  Richards               ,ARA | Skip Capital                      ,     168
499 ,Kristian  Sbaragli           ,Alpecin - Deceuninck                    ,     168
