,rider,team,points
0,Tadej  Pogačar,UAE Team Emirates,11655
1,Remco  Evenepoel,Soudal Quick-Step,6072.6
2,Jasper  Philipsen,Alpecin - Deceuninck,4790
3,Ben  O'Connor,Decathlon AG2R La Mondiale Team,4096
4,Mathieu van der Poel,Alpecin - Deceuninck,4053
5,Marc  Hirschi,UAE Team Emirates,3568
6,Jonas  Vingegaard,Team Visma | Lease a Bike,3536
7,Primož  Roglič,Red Bull - BORA - hansgrohe,3471
8,Biniam  Girmay,Intermarché - Wanty,3352
9,Wout van Aert,Team Visma | Lease a Bike,2925
10,Enric  Mas,Movistar Team,2851
11,Mads  Pedersen,Lidl - Trek,2723
12,Matteo  Jorgenson,Team Visma | Lease a Bike,2702.1
13,Maxim Van Gils,Lotto Dstny,2482
14,Arnaud De Lie,Lotto Dstny,2458.4
15,Tim  Merlier,Soudal Quick-Step,2407
16,Jonathan  Milan,Lidl - Trek,2397
17,Mattias  Skjelmose,Lidl - Trek,2374
18,Carlos  Rodríguez,INEOS Grenadiers,2290.9
19,Richard  Carapaz,EF Education - EasyPost,2269
20,Brandon  McNulty,UAE Team Emirates,2247.9
21,Adam  Yates,UAE Team Emirates,2243
22,Mikel  Landa,Soudal Quick-Step,2097
23,Juan  Ayuso,UAE Team Emirates,2083
24,João  Almeida,UAE Team Emirates,2079.6
25,Aleksandr  Vlasov,Red Bull - BORA - hansgrohe,2073
26,Toms  Skujiņš,Lidl - Trek,2037
27,Stefan  Küng,Groupama - FDJ,2022
28,Thomas  Pidcock,INEOS Grenadiers,1970
29,Michael  Matthews,Team Jayco AlUla,1945.7
30,Romain  Bardet,Team dsm-firmenich PostNL,1889
31,Olav  Kooij,Team Visma | Lease a Bike,1862.1
32,Jhonatan  Narváez,INEOS Grenadiers,1860
33,Daniel Felipe  Martínez,Red Bull - BORA - hansgrohe,1855
34,Lennert Van Eetvelt,Lotto Dstny,1748
35,Kaden  Groves,Alpecin - Deceuninck,1706
36,Julian  Alaphilippe,Soudal Quick-Step,1699.7
37,Antonio  Tiberi,Bahrain - Victorious,1656
38,Corbin  Strong,Israel - Premier Tech,1635
39,Benoît  Cosnefroy,Decathlon AG2R La Mondiale Team,1621
40,Tim  Wellens,UAE Team Emirates,1616
41,Valentin  Madouas,Groupama - FDJ,1553
42,Alberto  Bettiol,Astana Qazaqstan Team,1538
43,Nils  Politt,UAE Team Emirates,1535.9
44,Christophe  Laporte,Team Visma | Lease a Bike,1512
45,Stephen  Williams,Israel - Premier Tech,1501
46,Pello  Bilbao,Bahrain - Victorious,1492.3
47,Alex  Aranburu,Movistar Team,1483
48,Diego  Ulissi,UAE Team Emirates,1472
49,Alexander  Kristoff,Uno-X Mobility,1443
50,Dylan  Groenewegen,Team Jayco AlUla,1441.7
51,David  Gaudu,Groupama - FDJ,1403
52,Oscar  Onley,Team dsm-firmenich PostNL,1370
53,Romain  Grégoire,Groupama - FDJ,1363
54,Axel  Zingle,Cofidis,1359
