,rider,team,points
55,Florian  Lipowitz,Red Bull - BORA - hansgrohe,1342
56,Isaac del Toro,UAE Team Emirates,1340
57,Jordi  Meeus,Red Bull - BORA - hansgrohe,1340
58,Geraint  Thomas,INEOS Grenadiers,1270
59,Laurence  Pithie,Groupama - FDJ,1258
60,Giulio  Ciccone,Lidl - Trek,1253
61,Lenny  Martinez,Groupama - FDJ,1246
62,Egan  Bernal,INEOS Grenadiers,1242.9
63,Magnus  Cort,Uno-X Mobility,1242.7
64,Tiesj  Benoot,Team Visma | Lease a Bike,1240
65,Luca  Mozzato,Arkéa - B&B Hotels,1238
66,Filippo  Ganna,INEOS Grenadiers,1225.7
67,Mathias  Vacek,Lidl - Trek,1190
68,Derek  Gee,Israel - Premier Tech,1168.3
69,Neilson  Powless,EF Education - EasyPost,1154.3
70,Roger  Adrià,Red Bull - BORA - hansgrohe,1151
71,Thymen  Arensman,INEOS Grenadiers,1149
72,Matej  Mohorič,Bahrain - Victorious,1148
73,Ion  Izagirre,Cofidis,1135.7
74,Santiago  Buitrago,Bahrain - Victorious,1127.3
75,Max  Poole,Team dsm-firmenich PostNL,1110
76,Jonas  Abrahamsen,Uno-X Mobility,1109
77,Pavel  Sivakov,UAE Team Emirates,1103
78,Kévin  Vauquelin,Arkéa - B&B Hotels,1088
79,Paul  Lapeira,Decathlon AG2R La Mondiale Team,1086
80,Matteo  Trentin,Tudor Pro Cycling Team,1068
81,Kevin  Vermaerke,Team dsm-firmenich PostNL,1059.3
82,Emilien  Jeannière,TotalEnergies,1056
83,Mauri  Vansevenant,Soudal Quick-Step,1055
84,Attila  Valter,Team Visma | Lease a Bike,1023
85,Søren  Wærenskjold,Uno-X Mobility,1017
86,Magnus  Sheffield,INEOS Grenadiers,1010
87,Simon  Yates,Team Jayco AlUla,1006
88,Gerben  Thijssen,Intermarché - Wanty,1005
89,Ilan Van Wilder,Soudal Quick-Step,997.6
90,Joseph  Blackmore,Israel - Premier Tech,993
91,Marc  Soler,UAE Team Emirates,981.6
92,Ben  Healy,EF Education - EasyPost,976
93,Michael  Storer,Tudor Pro Cycling Team,968
94,Jan  Tratnik,Team Visma | Lease a Bike,964
95,Alex  Baudin,Decathlon AG2R La Mondiale Team,963
96,Alec  Segaert,Lotto Dstny,943
97,Vincenzo  Albanese,Arkéa - B&B Hotels,935
98,Pascal  Ackermann,Israel - Premier Tech,933
99,Jasper  Stuyven,Lidl - Trek,927
100,Jan  Christen,UAE Team Emirates,916
101,Phil  Bauhaus,Bahrain - Victorious,909
102,Wilco  Kelderman,Team Visma | Lease a Bike,908.1
103,Aurélien  Paret-Peintre,Decathlon AG2R La Mondiale Team,906.1
104,Jai  Hindley,Red Bull - BORA - hansgrohe,888
105,Jenno  Berckmoes,Lotto Dstny,882.4
106,Marijn van den Berg,EF Education - EasyPost,876
107,Milan  Fretin,Cofidis,872
108,Orluis  Aular,Caja Rural - Seguros RGA,872
109,Felix  Gall,Decathlon AG2R La Mondiale Team,869.1
110,Mikkel  Bjerg,UAE Team Emirates,868.8
111,Thibau  Nys,Lidl - Trek,866
112,Edoardo  Zambanini,Bahrain - Victorious,859
113,Tobias Halland  Johannessen,Uno-X Mobility,854
114,Michael  Woods,Israel - Premier Tech,827
115,Mauro  Schmid,Team Jayco AlUla,819
116,Aaron  Gate,Burgos - BH,815
117,Jay  Vine,UAE Team Emirates,809.6
118,Guillaume  Martin,Cofidis,805
119,Giulio  Pellizzari,VF Group - Bardiani CSF - Faizanè,804
120,Bryan  Coquard,Cofidis,795.7
121,Einer  Rubio,Movistar Team,794
122,Filippo  Zana,Team Jayco AlUla,785
123,Jefferson Alveiro  Cepeda,Caja Rural - Seguros RGA,770
124,Bauke  Mollema,Lidl - Trek,769
125,Pablo  Castrillo,Equipo Kern Pharma,762
126,Quentin  Pacher,Groupama - FDJ,760
127,Jenthe  Biermans,Arkéa - B&B Hotels,757
128,António  Morgado,UAE Team Emirates,756
129,Pavel  Bittner,Team dsm-firmenich PostNL,753
130,Sam  Bennett,Decathlon AG2R La Mondiale Team,744.1
131,Maximilian  Schachmann,Red Bull - BORA - hansgrohe,732.3
132,Arvid de Kleijn,Tudor Pro Cycling Team,732
133,Danny van Poppel,Red Bull - BORA - hansgrohe,731
134,Fernando  Gaviria,Movistar Team,715
135,Madis  Mihkels,Intermarché - Wanty,711
136,Quinten  Hermans,Alpecin - Deceuninck,711
137,Clément  Venturini,Arkéa - B&B Hotels,709
138,Valentin  Paret-Peintre,Decathlon AG2R La Mondiale Team,706
139,Eddie  Dunbar,Team Jayco AlUla,703
140,Dorian  Godon,Decathlon AG2R La Mondiale Team,702.1
141,Oier  Lazkano,Movistar Team,697
142,Bart  Lemmen,Team Visma | Lease a Bike,692
143,Oliver  Naesen,Decathlon AG2R La Mondiale Team,691.1
144,Luke  Plapp,Team Jayco AlUla,689.7
145,Pau  Miquel,Equipo Kern Pharma,682
146,Clément  Champoussin,Arkéa - B&B Hotels,681
147,Gianni  Vermeersch,Alpecin - Deceuninck,681
148,Joshua  Tarling,INEOS Grenadiers,667.9
149,Guillermo Thomas  Silva,Caja Rural - Seguros RGA,665
150,Jelte  Krijnsen,Parkhotel Valkenburg,665
151,Mike  Teunissen,Intermarché - Wanty,660
152,Per Strand  Hagenes,Team Visma | Lease a Bike,654
153,Lorenzo  Fortunato,Astana Qazaqstan Team,652
154,Alexandre  Delettre,St Michel - Mavic - Auber93,650
155,Simone  Velasco,Astana Qazaqstan Team,646
156,Paul  Magnier,Soudal Quick-Step,636.7
157,Luke  Lamperti,Soudal Quick-Step,626
158,Tom Van Asbroeck,Israel - Premier Tech,624
159,Pelayo  Sánchez,Movistar Team,620
160,Davide  Piganzoli,Team Polti Kometa,613
161,Lorenzo  Rota,Intermarché - Wanty,610
162,Stanisław  Aniołkowski,Cofidis,609
163,Laurens De Plus,INEOS Grenadiers,602.9
164,Georg  Steinhauser,EF Education - EasyPost,597
165,Andrea  Vendrame,Decathlon AG2R La Mondiale Team,596
166,Pierre  Gautherat,Decathlon AG2R La Mondiale Team,593
167,Sepp  Kuss,Team Visma | Lease a Bike,591
168,Finn  Fisher-Black,UAE Team Emirates,590.7
169,Archie  Ryan,EF Education - EasyPost,586
170,Markus  Hoelgaard,Uno-X Mobility,586
171,Dylan  Teuns,Israel - Premier Tech,584
172,Edoardo  Affini,Team Visma | Lease a Bike,580.1
173,Xandro  Meurisse,Alpecin - Deceuninck,578
174,Lionel  Taminiaux,Lotto Dstny,577
175,Victor  Campenaerts,Lotto Dstny,576
176,Rudy  Molard,Groupama - FDJ,574
177,Filippo  Baroncini,UAE Team Emirates,570
178,Cristián  Rodríguez,Arkéa - B&B Hotels,570
179,Henok  Mulubrhan,Astana Qazaqstan Team,569
180,Jordan  Jegat,TotalEnergies,564
181,Georg  Zimmermann,Intermarché - Wanty,563
182,Alexandre  Mayer,Saint Piran,561
183,Giovanni  Aleotti,Red Bull - BORA - hansgrohe,554
184,Matthew  Riccitello,Israel - Premier Tech,553
185,Jan  Hirt,Soudal Quick-Step,551
186,Alexey  Lutsenko,Astana Qazaqstan Team,549.4
187,Merhawi  Kudus,Terengganu Cycling Team,549
188,Paul  Penhoët,Groupama - FDJ,547
189,Stefan  Bissegger,EF Education - EasyPost,544.8
190,Fabio  Christen,Q36.5 Pro Cycling Team,544
191,Fredrik  Dversnes,Uno-X Mobility,543
192,Marcin  Budziński,Mazowsze Serce Polski,531
193,Frank van den Broek,Team dsm-firmenich PostNL,529.9
194,Natnael  Tesfatsion,Lidl - Trek,525
195,Christian  Scaroni,Astana Qazaqstan Team,524.4
196,Anders  Foldager,Team Jayco AlUla,521.7
197,Laurenz  Rex,Intermarché - Wanty,520
198,Jason  Tesson,TotalEnergies,519
199,Davide De Pretto,Team Jayco AlUla,518
200,Wout  Poels,Bahrain - Victorious,518
201,Arnaud  Démare,Arkéa - B&B Hotels,511
202,Clément  Berthet,Decathlon AG2R La Mondiale Team,510
203,Riley  Sheehan,Israel - Premier Tech,509
204,Marco  Brenner,Tudor Pro Cycling Team,506.3
205,Urko  Berrade,Equipo Kern Pharma,505
206,George  Bennett,Israel - Premier Tech,502
207,Axel  Laurance,Alpecin - Deceuninck,496
208,Juan Sebastián  Molano,UAE Team Emirates,489
209,Lukas  Nerurkar,EF Education - EasyPost,483
210,Felix  Großschartner,UAE Team Emirates,482.6
211,Wilmar  Paredes,Team Medellín - EPM,477
212,Sergio  Higuita,Red Bull - BORA - hansgrohe,472
213,Vito  Braet,Intermarché - Wanty,470
214,Niklas  Behrens,Lidl - Trek Future Racing,463.3
215,Michael  Valgren,EF Education - EasyPost,463.3
216,Alberto  Dainese,Tudor Pro Cycling Team,460
217,Max  Walscheid,Team Jayco AlUla,458.3
218,Harold  Tejada,Astana Qazaqstan Team,454.4
219,Marco  Haller,Red Bull - BORA - hansgrohe,444
220,Anthony  Turgis,TotalEnergies,441
221,Amaury  Capiot,Arkéa - B&B Hotels,439
222,Hugo  Hofstetter,Israel - Premier Tech,437
223,Fred  Wright,Bahrain - Victorious,430.3
224,Tobias Lund  Andresen,Team dsm-firmenich PostNL,423.9
225,Caleb  Ewan,Team Jayco AlUla,420
226,Kasper  Asgreen,Soudal Quick-Step,420
227,Tim Torn  Teutenberg,Lidl - Trek Future Racing,418.3
228,Warren  Barguil,Team dsm-firmenich PostNL,411.9
229,Milan  Menten,Lotto Dstny,410
230,Casper van Uden,Team dsm-firmenich PostNL,407
231,Simon  Dehairs,Alpecin-Deceuninck Development Team,405
232,Max  Kanter,Astana Qazaqstan Team,403
233,Rasmus  Tiller,Uno-X Mobility,399
234,Matteo  Moschetti,Q36.5 Pro Cycling Team,398
235,Lukáš  Kubiš,Elkov - Kasper,397
236,Azzedine  Lagab,Madar Pro Cycling Team,394
237,Pier-André  Côté,Israel Premier Tech Academy,393.3
238,Carlos  Canal,Movistar Team,393
239,Charles  Kagimu,Ride United,393
240,Simone  Consonni,Lidl - Trek,390
241,Chris  Harper,Team Jayco AlUla,381.7
242,Francesco  Busatto,Intermarché - Wanty,380
243,Javier  Romo,Movistar Team,376
244,Fabio  Jakobsen,Team dsm-firmenich PostNL,367
245,Bruno  Armirail,Decathlon AG2R La Mondiale Team,366.1
246,Paul  Double,Team Polti Kometa,366
247,Hugo  Page,Intermarché - Wanty,362
248,Mathieu  Burgaudeau,TotalEnergies,360
249,Juan Pedro  López,Lidl - Trek,359
250,Quinn  Simmons,Lidl - Trek,357
251,José Manuel  Díaz,Burgos - BH,356
252,Xianjing  Lyu,China Glory - Mentech Continental Cycling Team,355
253,Brandon Smith  Rivera,INEOS Grenadiers,353
254,Eduard  Prades,Caja Rural - Seguros RGA,351
255,Rick  Pluimers,Tudor Pro Cycling Team,351
256,Mikkel Frølich  Honoré,EF Education - EasyPost,349.7
257,Yannis  Voisard,Tudor Pro Cycling Team,348
258,Rafał  Majka,UAE Team Emirates,348
259,Dries Van Gestel,TotalEnergies,348
260,Stan  Dewulf,Decathlon AG2R La Mondiale Team,346
261,Ewen  Costiou,Arkéa - B&B Hotels,344
262,Brieuc  Rolland,Equipe continentale Groupama-FDJ,344
263,Marius  Mayrhofer,Tudor Pro Cycling Team,336
264,Thomas  Gachignard,TotalEnergies,336
265,Riccardo  Zoidl,Team Felt Felbermayr,336
266,Junior  Lecerf,Soudal Quick-Step,335
267,Rasmus Søjberg  Pedersen,Decathlon AG2R La Mondiale Development Team,335
268,Tobias  Foss,INEOS Grenadiers,334
269,Davide  Formolo,Movistar Team,332
270,Rui  Oliveira,UAE Team Emirates,331.1
271,Stefano  Oldani,Cofidis,329
272,Gregor  Mühlberger,Movistar Team,328
273,Domenico  Pozzovivo,VF Group - Bardiani CSF - Faizanè,328
274,Cian  Uijtdebroeks,Team Visma | Lease a Bike,327
275,Benjamin  Thomas,Cofidis,326.7
276,Yevgeniy  Fedorov,Astana Qazaqstan Team,326.3
277,Alex  Kirsch,Lidl - Trek,325
278,Harm  Vanhoucke,Lotto Dstny,324
279,Sam  Welsford,Red Bull - BORA - hansgrohe,323
280,Giovanni  Lonardi,Team Polti Kometa,323
281,Kevin  Geniets,Groupama - FDJ,323
282,Jakob  Söderqvist,Lidl - Trek Future Racing,322
283,Oded  Kogut,Israel - Premier Tech,319
284,Darren  Rafferty,EF Education - EasyPost,319
285,Patrick  Konrad,Lidl - Trek,318
286,Frederik  Wandahl,Red Bull - BORA - hansgrohe,318
287,Iván  Romeo,Movistar Team,317
288,Jonathan Klever  Caicedo,Petrolike,316.3
289,Jon  Aberasturi,Euskaltel - Euskadi,312
290,Franklin  Archibold,Panamá es Cultura y Valores,311.7
291,Nick  Schultz,Israel - Premier Tech,311
292,Pierre  Barbier,Philippe Wagner/Bazin,311
293,Timothy  Dupont,Tarteletto - Isorex,311
294,Jarne Van de Paar,Lotto Dstny,308
295,Andreas  Leknessund,Uno-X Mobility,308
296,Tim van Dijke,Team Visma | Lease a Bike,306.1
297,Bastien  Tronchon,Decathlon AG2R La Mondiale Team,306
298,Filippo  Magli,VF Group - Bardiani CSF - Faizanè,306
299,Gianluca  Brambilla,Q36.5 Pro Cycling Team,304
300,Carter  Bettles,Roojai Insurance,295.2
301,Giovanni  Carboni,JCL Team UKYO,294
302,Søren Kragh Andersen,Alpecin - Deceuninck,292
303,Nelson  Oliveira,Movistar Team,291
304,Euro  Kim,LX Cycling Team,290
305,Márton  Dina,ATT Investments,288
306,Tord  Gudmestad,Uno-X Mobility,286
307,Ryan  Gibbons,Lidl - Trek,285
308,Ryan  Cavanagh,Kinan Racing Team,285
309,Dillon  Geary,First Internet Bank Cycling,283
310,Alexander  Hajek,Red Bull - BORA - hansgrohe,282
311,Mattia  Cattaneo,Soudal Quick-Step,281.6
312,Jannik  Steimle,Q36.5 Pro Cycling Team,279.3
313,Davide  Cimolai,Movistar Team,278
314,Eric Antonio  Fagúndez,Burgos - BH,277
315,Sandy  Dujardin,TotalEnergies,276
316,Rory  Townsend,Q36.5 Pro Cycling Team,276
317,José Félix  Parra,Equipo Kern Pharma,276
318,Red  Walters,XSpeed United Continental,275.2
319,Jambaljamts  Sainbayar,Burgos - BH,274.3
320,Tibor Del Grosso,Alpecin-Deceuninck Development Team,274
321,Mark  Donovan,Q36.5 Pro Cycling Team,273.4
322,Nairo  Quintana,Movistar Team,273
323,Thomas  Pesenti,JCL Team UKYO,269
324,Cristian  Raileanu,Li Ning Star,269
325,Rui  Costa,EF Education - EasyPost,268
326,Alessandro  Pinarello,VF Group - Bardiani CSF - Faizanè,266
327,Emīls  Liepiņš,Team dsm-firmenich PostNL,264
328,Metkel  Eyob,Terengganu Cycling Team,264
329,Julien  Bernard,Lidl - Trek,262
330,Jarno  Widar,Lotto Dstny Development Team,262
331,Mats  Wenzel,Lidl - Trek Future Racing,262
332,Alexis  Renard,Cofidis,260
333,Jack  Haig,Bahrain - Victorious,257.3
334,Carlos  Verona,Lidl - Trek,257
335,Leangel Rubén  Linarez,Tavfer-Ovos Matinados-Mortágua,257
336,Raúl  García Pierna,Arkéa - B&B Hotels,256
337,Lander  Loockx,TDT - Unibet Cycling Team,255
338,Martin  Svrček,Soudal Quick-Step,254.7
339,Ethan  Vernon,Israel - Premier Tech,254
340,Rodrigo  Contreras,Nu Colombia,252
341,Luca Van Boven,Bingoal WB,252
342,Martin  Laas,Ferei Quick-Panda Podium Mongolia Team,252
343,Manuele  Tarozzi,VF Group - Bardiani CSF - Faizanè,251
344,Brandon  Downes,TEG Procycling Team,250
345,Huub  Artz,Wanty - ReUz - Technord,250
346,Nicolas  Prodhomme,Decathlon AG2R La Mondiale Team,250
347,Noa  Isidore,Decathlon AG2R La Mondiale Development Team,250
348,Rune  Herregodts,Intermarché - Wanty,249
349,Matthew  Brennan,Team Visma | Lease a Bike Development,248
350,Ethan  Hayter,INEOS Grenadiers,248
351,Gal  Glivar,UAE Team Emirates Gen Z,247
352,Óscar  Rodríguez,INEOS Grenadiers,247
353,Jefferson Alexander  Cepeda,EF Education - EasyPost,246
354,Ruben  Guerreiro,Movistar Team,245
355,Cees  Bol,Astana Qazaqstan Team,245
356,Damien  Howson,Q36.5 Pro Cycling Team,244
357,Masaki  Yamamoto,JCL Team UKYO,243
358,Jørgen  Nordhagen,Team Visma | Lease a Bike Development,243
359,Mattéo  Vercher,TotalEnergies,243
360,Simon  Clarke,Israel - Premier Tech,238
361,Artem  Nych,Sabgal / Anicolor,238
362,Brent Van Moer,Lotto Dstny,237
363,Steffen De Schuyteneer,Lotto Dstny Development Team,237
364,Kaden  Hopkins,Vendée U,237
365,Yves  Lampaert,Soudal Quick-Step,236.6
366,Victor  Lafay,Decathlon AG2R La Mondiale Team,235
367,Dmitriy  Gruzdev,Astana Qazaqstan Team,234.8
368,Nils  Eekhoff,Team dsm-firmenich PostNL,233.9
369,Piet  Allegaert,Cofidis,233
370,Fernando  Barceló,Caja Rural - Seguros RGA,233
371,Samuel  Watson,Groupama - FDJ,233
372,Ådne  Holter,Uno-X Mobility,233
373,Michał  Kwiatkowski,INEOS Grenadiers,233
374,Mark  Cavendish,Astana Qazaqstan Team,232
375,Jensen  Plowright,Alpecin - Deceuninck,232
376,Liam  Slock,Lotto Dstny,231
377,Matthew  Greenwood,Team BridgeLane,230
378,Kristian  Sbaragli,Team Corratec - Vini Fantini,230
379,Lewis  Askey,Groupama - FDJ,229
380,Matyáš  Kopecký,Team Novo Nordisk,229
381,Stan Van Tricht,Alpecin - Deceuninck,229
382,Gleb  Syritsa,Astana Qazaqstan Team,228
383,Sylvain  Moniquet,Lotto Dstny,228
384,Louis  Meintjes,Intermarché - Wanty,226
385,Max  Walker,Astana Qazaqstan Development Team,226
386,Samuele  Battistella,Astana Qazaqstan Team,225.4
387,Adne van Engelen,Roojai Insurance,225
388,Francisco  Galván,Equipo Kern Pharma,225
389,Alessandro  Romele,Astana Qazaqstan Development Team,225
390,Louis  Barré,Arkéa - B&B Hotels,224
391,Jon  Barrenetxea,Movistar Team,224
392,Ben  Zwiehoff,Red Bull - BORA - hansgrohe,223
393,Steff  Cras,TotalEnergies,223
394,Odd Christian  Eiking,Uno-X Mobility,223
395,Marco  Frigo,Israel - Premier Tech,223
396,Joan  Bou,Euskaltel - Euskadi,222
397,Pablo  Torres,UAE Team Emirates Gen Z,222
398,Hartthijs de Vries,TDT - Unibet Cycling Team,221
399,Itamar  Einhorn,Israel - Premier Tech,220
400,Tom  Donnenwirth,Decathlon AG2R La Mondiale Development Team,220
401,Timo  Kielich,Alpecin - Deceuninck,219
402,Sente  Sentjens,Alpecin-Deceuninck Development Team,218
403,Norbert  Banaszek,Mazowsze Serce Polski,215.2
404,Mario  Aparicio,Burgos - BH,215
405,Yuma  Koishi,JCL Team UKYO,214
406,Christopher  Rougier-Lagane,Team MCB,213
407,Patryk  Stosz,Team Felt Felbermayr,212
408,John  Degenkolb,Team dsm-firmenich PostNL,212
409,Emanuel  Buchmann,Red Bull - BORA - hansgrohe,210
410,Joel  Nicolau,Caja Rural - Seguros RGA,209
411,Krists  Neilands,Israel - Premier Tech,209
412,Matteo  Sobrero,Red Bull - BORA - hansgrohe,207
413,Alessandro  Tonelli,VF Group - Bardiani CSF - Faizanè,206
414,Victor  Langellotti,Burgos - BH,206
415,David de la Cruz,Q36.5 Pro Cycling Team,206
416,Dmitriy  Bocharov,Tashkent City Professional Cycling Team,206
417,Davide  Ballerini,Astana Qazaqstan Team,205
418,Ilkhan  Dostiyev,,204
419,Matteo  Malucelli,JCL Team UKYO,204
420,Karl Patrick  Lauk,Huansheng - SCOM - Taishan Sport Cycling Team,204
421,Koen  Bouwman,Team Visma | Lease a Bike,203.1
422,Simon  Dalby,Uno-X Mobility Development Team,203
423,Tegsh-bayar  Batsaikhan,Roojai Insurance,202.5
424,Walter  Vargas,Team Medellín - EPM,202
425,Harold Martín  López,Astana Qazaqstan Team,202
426,Emmanuel  Morin,Van Rysel - Roubaix,202
427,Arne  Marit,Intermarché - Wanty,201
428,Anthon  Charmig,Astana Qazaqstan Team,200.4
429,Anatoliy  Budyak,Terengganu Cycling Team,200
430,Andreas  Miltiadis,Terengganu Cycling Team,200
431,Emile van Niekerk,TEG Procycling Team,200
432,Ben  Turner,INEOS Grenadiers,199.9
433,Logan  Currie,Lotto Dstny,198.4
434,Maikel  Zijlaard,Tudor Pro Cycling Team,198
435,Simon  Geschke,Cofidis,197
436,Chris  Hamilton,Team dsm-firmenich PostNL,196
437,Mattia  Bais,Team Polti Kometa,196
438,Esteban  Chaves,EF Education - EasyPost,196
439,Jakub  Mareczko,Team Corratec - Vini Fantini,195
440,Damiano  Caruso,Bahrain - Victorious,195
441,Miguel  Heidemann,Team Felt Felbermayr,193.3
442,El Houcaine  Sabbahi,Qatar Pro Team,193.3
443,Unai  Iribar,Equipo Kern Pharma,192
444,Ceriel  Desal,Bingoal WB,192
445,Jake  Stewart,Israel - Premier Tech,191
446,Yacine  Hamza,Madar Pro Cycling Team,191
447,Moise  Mugisha,,190.3
448,Nikiforos  Arvanitou,Novapor Speedbike Team,190
449,Muhammad Nur Aiman Bin  Rosli,Terengganu Cycling Team,189
450,Florian Samuel  Kajamini,Team MBH Bank Colpack Ballan,189
451,Sergio Geovani  Chumil,Burgos - BH,189
452,Sam  Oomen,Lidl - Trek,188
453,Gianmarco  Garofoli,Astana Qazaqstan Team,187
454,Andrea  Bagioli,Lidl - Trek,187
455,Nicolas  Vinokurov,Astana Qazaqstan Team,187
456,Tyler  Stites,Project Echelon Racing,186
457,Mirco  Maestri,Team Polti Kometa,185.3
458,Nicola  Conci,Alpecin - Deceuninck,185
459,Thibaud  Gruel,Groupama - FDJ,185
460,Gleb  Brussenskiy,Astana Qazaqstan Team,185
461,Igor  Arrieta,UAE Team Emirates,184
462,Mick van Dijke,Team Visma | Lease a Bike,183.1
463,Jackson  Medway,Team BridgeLane,183
464,Thanakhan  Chaiyasombat,Thailand Continental Cycling Team,182.7
465,Iván Ramiro  Sosa,Movistar Team,182
466,Dawit  Yemane,BIKE AID,182
467,Aimé De Gendt,Cofidis,182
468,Pascal  Eenkhoorn,Lotto Dstny,181
469,Filippo  Fiorelli,VF Group - Bardiani CSF - Faizanè,180
470,Abdulla  Jasim Al-Ali,UAE Team Emirates Gen Z,180
471,Damien  Touzé,Decathlon AG2R La Mondiale Team,179
472,Mikel  Bizkarra,Euskaltel - Euskadi,179
473,Iván  García Cortina,Movistar Team,179
474,Kamiel  Bonneu,Team Flanders - Baloise,179
475,Milkias  Maekele,As.Be.Co Cycling Club,178.3
476,Enrico  Zanoncello,VF Group - Bardiani CSF - Faizanè,176
477,Axel  Mariault,Cofidis,174
478,Xabier  Berasategi,Euskaltel - Euskadi,173
479,Lars  Boven,Alpecin - Deceuninck,172
480,Marco  Tizza,Bingoal WB,172
481,Morné Van Niekerk,St Michel - Mavic - Auber93,172
482,Alessandro  Covi,UAE Team Emirates,172
483,Matevž  Govekar,Bahrain - Victorious,171
484,Ibrahim  Essabahy,Qatar Pro Team,171
485,Joris  Delbove,St Michel - Mavic - Auber93,170.3
486,Kelland  O'Brien,Team Jayco AlUla,170
487,Wessel  Mouris,Metec - SOLARWATT p/b Mantel,170
488,Afonso  Eulálio,ABTF Betão - Feirense,168
489,Fabian  Weiss,Tudor Pro Cycling Team U23,167.5
490,Luca  Vergallito,Alpecin - Deceuninck,167
491,Negasi Haylu  Abreha,Q36.5 Pro Cycling Team,165.3
492,Larry  Warbasse,Decathlon AG2R La Mondiale Team,165
493,Jakob  Fuglsang,Israel - Premier Tech,165
494,Callum  Scotson,Team Jayco AlUla,164
495,Daniel Andres  Bonilla,Colono Bikestation Kölbi,164
496,Simon  Guglielmi,Arkéa - B&B Hotels,164
497,Ivo  Oliveira,UAE Team Emirates,163.1
498,Tao  Geoghegan Hart,Lidl - Trek,163
499,Axel  Huens,TDT - Unibet Cycling Team,162
