,rider,team,points
290,Mykhaylo  Kononenko ,Salcano Sakarya BB Team,220
291,Harm  Vanhoucke ,Lotto Soudal,220
292,Jakub  Kaczmarek ,HRE Mazowsze Serce Polski,220
293,Metkel  Eyob ,Terengganu Cycling Team,218
294,Philipp  Walsleben ,Alpecin - Fenix,218
295,Sven Erik  Bystrøm ,UAE Team Emirates,217
296,Jens  Reynders ,Sport Vlaanderen - Baloise,214
297,Tobias  Bayer ,Alpecin - Fenix,213
298,Ruben  Guerreiro ,EF Education - Nippo,213
299,James  Shaw ,Ribble Weldtite Pro Cycling,213
300,Alex  Hoehn ,Wildlife Generation Pro Cycling,212
301,Alberto  Bettiol ,EF Education - Nippo,212
302,Michael  Kukrle ,Elkov - Kasper,211
303,Franklin  Archibold ,Panamá es Cultura y Valores,210
304,Jérémy  Lecroq ,B&B Hotels p/b KTM,210
305,Roland  Thalmann ,Team Vorarlberg,209
306,Lawson  Craddock ,EF Education - Nippo,208
307,Omar  Fraile ,Astana - Premier Tech,208
308,Bruno  Armirail ,Groupama - FDJ,208
309,Quentin  Pacher ,B&B Hotels p/b KTM,208
310,Evaldas  Šiškevičius ,DELKO,207
311,Daryl  Impey ,Israel Start-Up Nation,206
312,Iván Ramiro  Sosa ,INEOS Grenadiers,205
313,Stefano  Oldani ,Lotto Soudal,205
314,Kim  Heiduk ,Team Lotto - Kern Haus,203
315,Chris  Harper ,Team Jumbo-Visma,203
316,Quinten  Hermans ,Intermarché - Wanty - Gobert Matériaux,202
317,Elmar  Reinders ,Riwal Cycling Team,201.5
318,Mauro  Schmid ,Team Qhubeka NextHash,201
319,Kenny  Elissonde ,Trek - Segafredo,200
320,Yauhen  Sobal ,Minsk Cycling Club,200
321,Matteo  Badilatti ,Groupama - FDJ,199
322,Ilnur  Zakarin ,Gazprom - RusVelo,199
323,Andreas  Leknessund ,Team DSM,199
324,José  Neves ,W52 / FC Porto ,198
325,Søren Kragh Andersen ,Team DSM,198
326,Axel  Zingle ,CC Étupes,198
327,Artem  Nych ,Gazprom - RusVelo,198
328,Michael  Mørkøv ,Deceuninck - Quick Step,197
329,Sébastien  Reichenbach ,Groupama - FDJ,197
330,Clément  Russo ,Team Arkéa Samsic,197
331,Josef  Černý ,Deceuninck - Quick Step,196
332,Jan  Tratnik ,Bahrain - Victorious,196
333,Cristian David  Pita ,Best PC Ecuador,195
334,Tao  Geoghegan Hart ,INEOS Grenadiers,195
335,Stephen  Williams ,Bahrain - Victorious,195
336,Polychronis  Tzortzakis ,Kuwait Pro Cycling Team,193
337,Sjoerd  Bax ,Metec - SOLARWATT p/b Mantel,193
338,Santiago  Buitrago ,Bahrain - Victorious,192
339,Luca  Colnaghi ,UC Trevigiani - Campana Imballaggi,187
340,Lukáš  Kubiš ,Dukla Banska Bystrica,187
341,Jordi  Warlop ,Sport Vlaanderen - Baloise,187
342,Thibaut  Pinot ,Groupama - FDJ,186
343,Aaron  Gate ,Black Spoke Pro Cycling Academy,185.5
344,Louis  Meintjes ,Intermarché - Wanty - Gobert Matériaux,185
345,Boy van Poppel ,Intermarché - Wanty - Gobert Matériaux,185
346,Tord  Gudmestad ,Team Coop,184
347,Giovanni  Carboni ,Bardiani-CSF-Faizanè,184
348,Idar  Andersen ,Uno-X Pro Cycling Team,184
349,Nassim  Saidi ,,182.2
350,Jhojan  García ,Caja Rural - Seguros RGA,182
351,Damien  Howson ,Team BikeExchange,182
352,Jai  Hindley ,Team DSM,182
353,Alan  Riou ,Team Arkéa Samsic,182
354,Dimitri  Claeys ,Team Qhubeka NextHash,181
355,Gianni  Marchand ,Tarteletto - Isorex,180
356,Antwan  Tolhoek ,Team Jumbo-Visma,179
357,José Félix  Parra ,Equipo Kern Pharma,178
358,Krists  Neilands ,Israel Start-Up Nation,178
359,Nathan Van Hooydonck ,Team Jumbo-Visma,178
360,Lorrenzo  Manzin ,TotalEnergies,178
361,Gotzon  Martín ,Euskaltel - Euskadi,177
362,Reinardt  Janse van Rensburg ,Team Qhubeka NextHash,176
363,Eduard  Prades ,DELKO,176
364,Emanuel  Buchmann ,BORA - hansgrohe,175
365,Hector Exequiel  Quintana ,,175
366,Amaro  Antunes ,W52 / FC Porto ,174
367,Nariyuki  Masuda ,Utsunomiya Blitzen,174
368,Lilian  Calmejane ,AG2R Citroën Team,173
369,Einer  Rubio ,Movistar Team,172
370,Dries De Bondt ,Alpecin - Fenix,171
371,Lewis  Askey ,Equipe continentale Groupama-FDJ,171
372,Valerio  Conti ,UAE Team Emirates,170
373,Simon  Carr ,EF Education - Nippo,170
374,Tsgabu  Grmay ,Team BikeExchange,169.3
375,Silvan  Dillier ,Alpecin - Fenix,169
376,Filip  Maciejuk ,Leopard Pro Cycling,166.7
377,Gerben  Thijssen ,Lotto Soudal,166
378,Bert Van Lerberghe ,Deceuninck - Quick Step,165
379,Coen  Vermeltfoort ,VolkerWessels Cyclingteam,165
380,Pierre  Barbier ,DELKO,163
381,Alexis  Guerin ,Team Vorarlberg,163
382,Stan Van Tricht ,SEG Racing Academy,162.3
383,Davide  Cimolai ,Israel Start-Up Nation,162
384,Riccardo  Zoidl ,Team Felbermayr - Simplon Wels,162
385,Dries Van Gestel ,TotalEnergies,161
386,Simon  Pellaud ,Androni Giocattoli - Sidermec,161
387,Anders  Skaarseth ,Uno-X Pro Cycling Team,161
388,Robert  Stannard ,Team BikeExchange,160
389,Niklas  Eg ,Trek - Segafredo,158
390,Rui  Oliveira ,UAE Team Emirates,158
391,Sarawut  Sirironnachai ,Thailand Continental Cycling Team,158
392,Marco  Canola ,Gazprom - RusVelo,157
393,Byron  Guamá ,Best PC Ecuador,157
394,Sergei  Chernetski ,Gazprom - RusVelo,157
395,Antonio  Puppio ,Team Qhubeka,156
396,Heberth Alejandro  Gutiérrez ,,155
397,Hugo  Houle ,Astana - Premier Tech,155
398,Anthon  Charmig ,Uno-X Dare Development Team,155
399,Aivaras  Mikutis ,Ampler Development Team,155
400,Jay  Vine ,Alpecin - Fenix,155
401,Torstein  Træen ,Uno-X Pro Cycling Team,155
402,Daan  Hoole ,SEG Racing Academy,154.8
403,Mikel  Iturria ,Euskaltel - Euskadi,154
404,Lukas  Pöstlberger ,BORA - hansgrohe,153
405,Casper van Uden ,Development Team DSM,152.5
406,Laurence  Pithie ,Equipe continentale Groupama-FDJ,152.2
407,Jakub  Mareczko ,Vini Zabù,152
408,Adne van Engelen ,BIKE AID,152
409,Tanel  Kangert ,Team BikeExchange,152
410,Michel  Hessmann ,Jumbo-Visma Development Team,151.2
411,Damien  Touzé ,AG2R Citroën Team,151
412,Damien  Gaudin ,TotalEnergies,151
413,Romain  Hardy ,Team Arkéa Samsic,151
414,Musa  Mikayilzade ,,150
415,Fred  Wright ,Bahrain - Victorious,150
416,Sebastian  Schönberger ,B&B Hotels p/b KTM,150
417,Jenthe  Biermans ,Israel Start-Up Nation,150
418,Jonas  Koch ,Intermarché - Wanty - Gobert Matériaux,149
419,Matteo  Jorgenson ,Movistar Team,149
420,Timo  Roosen ,Team Jumbo-Visma,147
421,Jannik  Steimle ,Deceuninck - Quick Step,147
422,Mathias  Norsgaard ,Movistar Team,146.3
423,James  Knox ,Deceuninck - Quick Step,146
424,Héctor  Carretero ,Movistar Team,146
425,Olivier Le Gac ,Groupama - FDJ,144
426,Maximilian  Stedman ,Canyon dhb SunGod,144
427,Kyle  Murphy ,Rally Cycling,143
428,Riccardo  Minali ,Intermarché - Wanty - Gobert Matériaux,143
429,Erik  Fetter ,EOLO-Kometa,142
430,Fernando  Barceló ,Cofidis,142
431,Rubén  Fernández ,Cofidis,142
432,Vitaliy  Buts ,Salcano Sakarya BB Team,142
433,Tom  Paquot ,Bingoal Pauwels Sauces WB,141
434,Stefan de Bod ,Astana - Premier Tech,141
435,Sergio  Henao ,Team Qhubeka NextHash,141
436,Jonas  Rapp ,Team Hrinkow Advarics Cycleang,140
437,Wilson  Haro ,,140
438,Valentin  Ferron ,TotalEnergies,140
439,Michele  Gazzoli ,Team Colpack Ballan,139
440,Lucas  Carstensen ,BIKE AID,139
441,Eduard-Michael  Grosu ,DELKO,138
442,Giovanni  Lonardi ,Bardiani-CSF-Faizanè,137
443,Rafael  Reis ,Efapel,137
444,Miles  Scotson ,Groupama - FDJ,137
445,Masaki  Yamamoto ,Kinan Cycling Team,136
446,Stanislau  Bazhkou ,Minsk Cycling Club,136
447,Thomas  Boudat ,Team Arkéa Samsic,136
448,Thymen  Arensman ,Team DSM,136
449,Maxim Van Gils ,Lotto Soudal,135
450,Rémy  Mertz ,Bingoal Pauwels Sauces WB,135
451,Luke  Plapp ,InForm TMX MAKE,135
452,Pier-André  Côté ,Rally Cycling,135
453,Urko  Berrade ,Equipo Kern Pharma,134
454,Anthony  Perez ,Cofidis,134
455,Martijn  Budding ,BEAT Cycling,133
456,Joey  Rosskopf ,Rally Cycling,133
457,Immanuel  Stark ,P&S Metalltechnik,132
458,Luka  Mezgec ,Team BikeExchange,132
459,Simone  Petilli ,Intermarché - Wanty - Gobert Matériaux,132
460,Jens  Debusschere ,B&B Hotels p/b KTM,132
461,Luc  Wirtgen ,Bingoal Pauwels Sauces WB,131
462,Winner  Anacona ,Team Arkéa Samsic,131
463,Mikkel  Bjerg ,UAE Team Emirates,130.3
464,Ryan  Christensen ,Canyon dhb SunGod,130
465,José Luis  Rodriguez ,Start Cycling Team,130
466,Patrick  Bevin ,Israel Start-Up Nation,129
467,Alexandre  Delettre ,DELKO,129
468,Szymon  Rekita ,Voster ATS Team,128
469,Juan Diego  Hoyos ,,128
470,Viktor  Filutás ,Giotti Victoria - Savini Due,128
471,Javier  Romo ,Astana - Premier Tech,127.5
472,Alexis  Vuillermoz ,TotalEnergies,127
473,Antti-Jussi  Juntunen ,Ampler Development Team,127
474,Jan  Maas ,Leopard Pro Cycling,127
475,Mikel  Aristi ,Euskaltel - Euskadi,126
476,Christophe  Noppe ,Team Arkéa Samsic,126
477,Luca  Chirico ,Androni Giocattoli - Sidermec,126
478,Natnael  Tesfatsion ,Androni Giocattoli - Sidermec,126
479,Walter  Vargas ,Team Medellín - EPM,126
480,Nicolas  Roche ,Team DSM,126
481,Viktor  Potočki ,Ljubljana Gusto Santic,125
482,Ryan  Mullen ,Trek - Segafredo,125
483,Chris  Hamilton ,Team DSM,125
484,Marc Oliver  Pritzen ,Team Qhubeka,125
485,Aristóbulo  Cala ,,125
486,Frederico  Figueiredo ,Efapel,125
487,Davide  Gabburo ,Bardiani-CSF-Faizanè,125
488,Cedric  Beullens ,Sport Vlaanderen - Baloise,124
489,Mikel  Bizkarra ,Euskaltel - Euskadi,124
490,Yevgeniy  Fedorov ,Astana - Premier Tech,123
491,Tim van Dijke ,Jumbo-Visma Development Team,122.2
492,Gil  D'heygere ,Tarteletto - Isorex,122
493,Víctor de la Parte ,TotalEnergies,121
494,Eddie  Dunbar ,INEOS Grenadiers,121
495,Dawit  Yemane ,BIKE AID,120
496,Antonio Jesús  Soto ,Euskaltel - Euskadi,120
497,Paul  Daumont ,,119
498,Jonas  Rutsch ,EF Education - Nippo,118
499,Alan  Boileau ,B&B Hotels p/b KTM,118
