,rider,team,points
0,Tadej  Pogačar ,UAE Team Emirates,5323
1,Wout van Aert ,Team Jumbo-Visma,4367
2,Primož  Roglič ,Team Jumbo-Visma,3884
3,Julian  Alaphilippe ,Deceuninck - Quick Step,3104.7
4,Sonny  Colbrelli ,Bahrain - Victorious,2578
5,Egan  Bernal ,INEOS Grenadiers,2576
6,Mathieu van der Poel ,Alpecin - Fenix,2467
7,João  Almeida ,Deceuninck - Quick Step,2279
8,Adam  Yates ,INEOS Grenadiers,2251
9,Alejandro  Valverde ,Movistar Team,1981
10,Michael  Woods ,Israel Start-Up Nation,1893
11,Richard  Carapaz ,INEOS Grenadiers,1883
12,Matej  Mohorič ,Bahrain - Victorious,1872
13,Remco  Evenepoel ,Deceuninck - Quick Step,1814
14,Jasper  Philipsen ,Alpecin - Fenix,1777
15,David  Gaudu ,Groupama - FDJ,1773
16,Jasper  Stuyven ,Trek - Segafredo,1771
17,Tim  Merlier ,Alpecin - Fenix,1717
18,Jonas  Vingegaard ,Team Jumbo-Visma,1715
19,Bauke  Mollema ,Trek - Segafredo,1620.7
20,Maximilian  Schachmann ,BORA - hansgrohe,1604
21,Giacomo  Nizzolo ,Team Qhubeka NextHash,1582
22,Kasper  Asgreen ,Deceuninck - Quick Step,1553
23,Matteo  Trentin ,UAE Team Emirates,1535
24,Enric  Mas ,Movistar Team,1533
25,Stefan  Küng ,Groupama - FDJ,1443
26,Mikkel Frølich  Honoré ,Deceuninck - Quick Step,1394.3
27,Ethan  Hayter ,INEOS Grenadiers,1325.3
28,Danny van Poppel ,Intermarché - Wanty - Gobert Matériaux,1291
29,Florian  Sénéchal ,Deceuninck - Quick Step,1288
30,Richie  Porte ,INEOS Grenadiers,1283.3
31,Mark  Cavendish ,Deceuninck - Quick Step,1280.3
32,Geraint  Thomas ,INEOS Grenadiers,1268
33,Thomas  Pidcock ,INEOS Grenadiers,1250
34,Aleksandr  Vlasov ,Astana - Premier Tech,1241
35,Simon  Yates ,Team BikeExchange,1239
36,Damiano  Caruso ,Bahrain - Victorious,1238
37,Dylan van Baarle ,INEOS Grenadiers,1235
38,Ben  O'Connor ,AG2R Citroën Team,1227
39,Alexey  Lutsenko ,Astana - Premier Tech,1205
40,Christophe  Laporte ,Cofidis,1204
41,Ben  Hermans ,Israel Start-Up Nation,1191.3
42,Benoît  Cosnefroy ,AG2R Citroën Team,1131
43,Jack  Haig ,Bahrain - Victorious,1131
44,Pascal  Ackermann ,BORA - hansgrohe,1112
45,Michael  Matthews ,Team BikeExchange,1087
46,Diego  Ulissi ,UAE Team Emirates,1074
47,Wilco  Kelderman ,BORA - hansgrohe,1070
48,Yves  Lampaert ,Deceuninck - Quick Step,1065
49,Fausto  Masnada ,Deceuninck - Quick Step,1053
50,Guillaume  Martin ,Cofidis,1038
51,Arnaud  Démare ,Groupama - FDJ,1014
52,Romain  Bardet ,Team DSM,999
53,Neilson  Powless ,EF Education - Nippo,986
54,Ion  Izagirre ,Astana - Premier Tech,953
55,Filippo  Ganna ,INEOS Grenadiers,941
56,Peter  Sagan ,BORA - hansgrohe,923
57,Greg Van Avermaet ,AG2R Citroën Team,906
58,Dorian  Godon ,AG2R Citroën Team,900
59,Michael  Valgren ,EF Education - Nippo,877
60,Fabio  Jakobsen ,Deceuninck - Quick Step,845
61,Rigoberto  Urán ,EF Education - Nippo,835
62,Mikel  Landa ,Bahrain - Victorious,828
63,Nairo  Quintana ,Team Arkéa Samsic,827
64,Tim  Wellens ,Lotto Soudal,826
65,Elia  Viviani ,Cofidis,813
66,Gianni  Vermeersch ,Alpecin - Fenix,804
67,Marc  Hirschi ,UAE Team Emirates,799
68,Pello  Bilbao ,Bahrain - Victorious,789
69,Alexander  Kristoff ,UAE Team Emirates,780
70,Warren  Barguil ,Team Arkéa Samsic,779
71,Valentin  Madouas ,Groupama - FDJ,768
72,Tosh Van der Sande ,Lotto Soudal,756
73,Tiesj  Benoot ,Team DSM,754
74,Caleb  Ewan ,Lotto Soudal,751
75,Alessandro  Covi ,UAE Team Emirates,742
76,Lorenzo  Rota ,Intermarché - Wanty - Gobert Matériaux,741
77,Gino  Mäder ,Bahrain - Victorious,736
78,Sam  Bennett ,Deceuninck - Quick Step,735
79,Aurélien  Paret-Peintre ,AG2R Citroën Team,732
80,Ryan  Gibbons ,UAE Team Emirates,730.7
81,Nils  Politt ,BORA - hansgrohe,727
82,Gianni  Moscon ,INEOS Grenadiers,726
83,Jordi  Meeus ,BORA - hansgrohe,724
84,Mads  Pedersen ,Trek - Segafredo,721
85,Biniam  Girmay ,Intermarché - Wanty - Gobert Matériaux,721
86,Hugo  Hofstetter ,Israel Start-Up Nation,720
87,Connor  Swift ,Team Arkéa Samsic,716
88,Patrick  Konrad ,BORA - hansgrohe,705
89,Esteban  Chaves ,Team BikeExchange,703
90,Alex  Aranburu ,Astana - Premier Tech,702
91,Anthony  Turgis ,TotalEnergies,700
92,Miguel Ángel  López ,,689
93,Rasmus  Tiller ,Uno-X Pro Cycling Team,687
94,Michał  Kwiatkowski ,INEOS Grenadiers,677.3
95,Ide  Schelling ,BORA - hansgrohe,663
96,Jakob  Fuglsang ,Astana - Premier Tech,660
97,Andrea  Pasqualon ,Intermarché - Wanty - Gobert Matériaux,658
98,Jesús  Herrada ,Cofidis,650
99,Sep  Vanmarcke ,Israel Start-Up Nation,645
100,Odd Christian  Eiking ,Intermarché - Wanty - Gobert Matériaux,643
101,Mattia  Cattaneo ,Deceuninck - Quick Step,639
102,Bram  Welten ,Team Arkéa Samsic,626
103,Dylan  Teuns ,Bahrain - Victorious,608
104,Hugh  Carthy ,EF Education - Nippo,602
105,Magnus  Cort ,EF Education - Nippo,596.3
106,John  Degenkolb ,Lotto Soudal,594
107,Nacer  Bouhanni ,Team Arkéa Samsic,593
108,Markus  Hoelgaard ,Uno-X Pro Cycling Team,571
109,Franck  Bonnamour ,B&B Hotels p/b KTM,566
110,Florian  Vermeersch ,Lotto Soudal,564
111,Alessandro De Marchi ,Israel Start-Up Nation,562.3
112,Victor  Campenaerts ,Team Qhubeka NextHash,559.3
113,Tom Van Asbroeck ,Israel Start-Up Nation,557
114,Filippo  Baroncini ,Team Colpack Ballan,550
115,Stan  Dewulf ,AG2R Citroën Team,547
116,Arne  Marit ,Sport Vlaanderen - Baloise,535
117,Bryan  Coquard ,B&B Hotels p/b KTM,532
118,Mauri  Vansevenant ,Deceuninck - Quick Step,530.6
119,Luca  Mozzato ,B&B Hotels p/b KTM,526
120,Michael  Storer ,Team DSM,526
121,Clément  Champoussin ,AG2R Citroën Team,522
122,Dan  Martin ,Israel Start-Up Nation,513
123,Sepp  Kuss ,Team Jumbo-Visma,510
124,David de la Cruz ,UAE Team Emirates,493
125,Lucas  Hamilton ,Team BikeExchange,490
126,Mike  Teunissen ,Team Jumbo-Visma,478
127,Niccolò  Bonifazio ,TotalEnergies,473
128,Gonzalo  Serrano ,Movistar Team,472
129,Rohan  Dennis ,INEOS Grenadiers,471.3
130,Filippo  Zana ,Bardiani-CSF-Faizanè,471
131,Stefan  Bissegger ,EF Education - Nippo,466
132,Max  Walscheid ,Team Qhubeka NextHash,465.3
133,Zdeněk  Štybar ,Deceuninck - Quick Step,465
134,Davide  Ballerini ,Deceuninck - Quick Step,461.7
135,Giovanni  Aleotti ,BORA - hansgrohe,455
136,Simone  Velasco ,Gazprom - RusVelo,448
137,Timothy  Dupont ,Bingoal Pauwels Sauces WB,446
138,Brandon  McNulty ,UAE Team Emirates,441
139,Piet  Allegaert ,Cofidis,441
140,Jake  Stewart ,Groupama - FDJ,431
141,Rui  Costa ,UAE Team Emirates,430
142,Jason  Tesson ,St Michel - Auber93,425
143,Toms  Skujiņš ,Trek - Segafredo,424
144,Vincenzo  Nibali ,Trek - Segafredo,417
145,Amaury  Capiot ,Team Arkéa Samsic,415
146,Alberto  Dainese ,Team DSM,415
147,Pierre  Latour ,TotalEnergies,411
148,Luis León  Sánchez ,Astana - Premier Tech,405
149,Jonathan  Lastra ,Caja Rural - Seguros RGA,402
150,Taco van der Hoorn ,Intermarché - Wanty - Gobert Matériaux,402
151,Heinrich  Haussler ,Bahrain - Victorious,401
152,Oliver  Naesen ,AG2R Citroën Team,400
153,Tobias  Foss ,Team Jumbo-Visma,398
154,Carlos  Rodríguez ,INEOS Grenadiers,396.1
155,Daniel Felipe  Martínez ,INEOS Grenadiers,395
156,Phil  Bauhaus ,Bahrain - Victorious,392
157,Sergio  Higuita ,EF Education - Nippo,390
158,Samuele  Battistella ,Astana - Premier Tech,385
159,Lorenzo  Fortunato ,EOLO-Kometa,384
160,Tom  Dumoulin ,Team Jumbo-Visma,383
161,Matteo  Moschetti ,Trek - Segafredo,377
162,Rune  Herregodts ,Sport Vlaanderen - Baloise,375
163,Andrea  Vendrame ,AG2R Citroën Team,372
164,Rémi  Cavagna ,Deceuninck - Quick Step,370
165,Merhawi  Kudus ,Astana - Premier Tech,368
166,Kristian  Sbaragli ,Alpecin - Fenix,367
167,Geoffrey  Bouchard ,AG2R Citroën Team,367
168,Philippe  Gilbert ,Lotto Soudal,367
169,George  Bennett ,Team Jumbo-Visma,366
170,Victor  Lafay ,Cofidis,363
171,Pavel  Sivakov ,INEOS Grenadiers,363
172,Olav  Kooij ,Team Jumbo-Visma,357
173,Mattias  Skjelmose ,Trek - Segafredo,355
174,Tobias Halland  Johannessen ,Uno-X Dare Development Team,353.8
175,James  Piccoli ,Israel Start-Up Nation,353
176,Matteo  Fabbro ,BORA - hansgrohe,350
177,Marc  Soler ,Movistar Team,350
178,Julien  Simon ,TotalEnergies,345
179,Nelson  Oliveira ,Movistar Team,345
180,Giulio  Ciccone ,Trek - Segafredo,343
181,Davide  Formolo ,UAE Team Emirates,343
182,José Manuel  Díaz ,DELKO,342
183,Baptiste  Planckaert ,Intermarché - Wanty - Gobert Matériaux,341
184,Jhonatan  Restrepo ,Androni Giocattoli - Sidermec,341
185,Kenneth Van Rooy ,Sport Vlaanderen - Baloise,341
186,Fernando  Gaviria ,UAE Team Emirates,339
187,Jon  Aberasturi ,Caja Rural - Seguros RGA,338
188,Alan  Banaszek ,HRE Mazowsze Serce Polski,338
189,Fabio  Aru ,,337
190,Rein  Taaramäe ,Intermarché - Wanty - Gobert Matériaux,336
191,Élie  Gesbert ,Team Arkéa Samsic,333
192,Arvid de Kleijn ,Rally Cycling,333
193,Martin  Laas ,BORA - hansgrohe,331
194,Iván  García Cortina ,Movistar Team,330
195,Kent  Main ,ProTouch,329.7
196,Milan  Menten ,Bingoal Pauwels Sauces WB,329
197,Andrea  Bagioli ,Deceuninck - Quick Step,328
198,Aimé De Gendt ,Intermarché - Wanty - Gobert Matériaux,325
199,Juan  Ayuso ,UAE Team Emirates,323.8
200,Rafał  Majka ,UAE Team Emirates,323
201,Kristoffer  Halvorsen ,Uno-X Pro Cycling Team,323
202,Alexis  Renard ,Israel Start-Up Nation,323
203,Mick van Dijke ,Team Jumbo-Visma,322.7
204,Edoardo  Affini ,Team Jumbo-Visma,321.7
205,Mark  Padun ,Bahrain - Victorious,318
206,Gianluca  Brambilla ,Trek - Segafredo,318
207,Marijn van den Berg ,Equipe continentale Groupama-FDJ,317.5
208,Antonio  Pedrero ,Movistar Team,317
209,Wout  Poels ,Bahrain - Victorious,316
210,Koen  Bouwman ,Team Jumbo-Visma,314.7
211,Mihkel  Räim ,HRE Mazowsze Serce Polski,314
212,Karl Patrick  Lauk ,Team Pro Immo Nicolas Roux,313
213,Dylan  Groenewegen ,Team Jumbo-Visma,313
214,Cristián  Rodríguez ,TotalEnergies,309
215,Pierre-Luc  Périchon ,Cofidis,309
216,Marc  Sarreau ,AG2R Citroën Team,308
217,Óscar  Rodríguez ,Astana - Premier Tech,303
218,Mads  Würtz Schmidt ,Israel Start-Up Nation,302
219,Daniel  McLay ,Team Arkéa Samsic,301
220,Georg  Zimmermann ,Intermarché - Wanty - Gobert Matériaux,298
221,Álvaro José  Hodeg ,Deceuninck - Quick Step,298
222,Simon  Clarke ,Team Qhubeka NextHash,297
223,Matteo  Sobrero ,Astana - Premier Tech,297
224,Jambaljamts  Sainbayar ,Terengganu Cycling Team,296
225,Davide  Villella ,Movistar Team,296
226,Kevin  Geniets ,Groupama - FDJ,293
227,Andreas  Kron ,Lotto Soudal,290
228,Ben  Tulett ,Alpecin - Fenix,289
229,Stanisław  Aniołkowski ,Bingoal Pauwels Sauces WB,288
230,Christofer Robín  Jurado ,Panamá es Cultura y Valores,285
231,Vincenzo  Albanese ,EOLO-Kometa,281
232,Roger  Adrià ,Equipo Kern Pharma,278
233,Marco  Haller ,Bahrain - Victorious,278
234,Julen  Amezqueta ,Caja Rural - Seguros RGA,276
235,Eduardo  Sepúlveda ,Androni Giocattoli - Sidermec,275
236,Nikias  Arndt ,Team DSM,274
237,Matis  Louvel ,Team Arkéa Samsic,273
238,Ludovic  Robeet ,Bingoal Pauwels Sauces WB,273
239,Anthony  Delaplace ,Team Arkéa Samsic,272
240,Quinn  Simmons ,Trek - Segafredo,272
241,Domenico  Pozzovivo ,Team Qhubeka NextHash,271
242,Jan  Polanc ,UAE Team Emirates,269
243,Felix  Großschartner ,BORA - hansgrohe,269
244,Mathieu  Burgaudeau ,TotalEnergies,268
245,Attila  Valter ,Groupama - FDJ,268
246,Pascal  Eenkhoorn ,Team Jumbo-Visma,265
247,Abner  González ,Movistar Team,263
248,Serghei  Țvetcov ,Wildlife Generation Pro Cycling,260
249,Filippo  Fiorelli ,Bardiani-CSF-Faizanè,260
250,Anatoliy  Budyak ,Spor Toto Cycling Team,260
251,Azzedine  Lagab ,BIKE AID,259.2
252,Jonas  Rickaert ,Alpecin - Fenix,259
253,Ben  Swift ,INEOS Grenadiers,259
254,Joe  Dombrowski ,UAE Team Emirates,258
255,Nelson Andrés  Soto ,,257
256,Simone  Consonni ,Cofidis,256
257,Oscar  Riesebeek ,Alpecin - Fenix,254
258,Maciej  Paterski ,Voster ATS Team,254
259,Michael  Gogl ,Team Qhubeka NextHash,254
260,Nick  Schultz ,Team BikeExchange,253
261,Luke  Durbridge ,Team BikeExchange,251
262,Tony  Martin ,Team Jumbo-Visma,251
263,Lucas  Eriksson ,Riwal Cycling Team,250
264,Romain  Cardis ,St Michel - Auber93,249
265,Nick van der Lijke ,Riwal Cycling Team,248.5
266,Finn  Fisher-Black ,UAE Team Emirates,245.2
267,Thibau  Nys ,Baloise - Trek Lions,245
268,Youcef  Reguigui ,,241
269,Patryk  Stosz ,Voster ATS Team,241
270,Jefferson Alexander  Cepeda ,Androni Giocattoli - Sidermec,240
271,Matthew  Walls ,BORA - hansgrohe,238
272,Mauricio  Moreira ,Efapel,238
273,Sam  Oomen ,Team Jumbo-Visma,238
274,Rudy  Molard ,Groupama - FDJ,236
275,Steven  Kruijswijk ,Team Jumbo-Visma,236
276,Edward  Theuns ,Trek - Segafredo,235
277,Xandro  Meurisse ,Alpecin - Fenix,234
278,Adam  Ťoupalík ,Elkov - Kasper,233
279,Søren  Wærenskjold ,Uno-X Pro Cycling Team,231.8
280,André  Greipel ,Israel Start-Up Nation,229
281,Guillaume  Boivin ,Israel Start-Up Nation,229
282,Michal  Schlegel ,Elkov - Kasper,228
283,Cees  Bol ,Team DSM,228
284,Johan  Price-Pejtersen ,Uno-X Pro Cycling Team,224.2
285,Justin  Wolf ,BIKE AID,223.3
286,Morten  Hulgaard ,Uno-X Pro Cycling Team,223.2
287,João  Rodrigues ,W52 / FC Porto ,221
288,Rémy  Rochas ,Cofidis,221
289,Kristian  Aasvold ,Team Coop,220
