,rider,team,points
117,Iván Ramiro  Sosa ,Movistar Team,572
118,Simon  Geschke ,Cofidis,570
119,Jhonatan  Narváez ,INEOS Grenadiers,563
120,Edward  Theuns ,Trek - Segafredo,559
121,Jack  Haig ,Bahrain - Victorious,558
122,Alberto  Bettiol ,EF Education - EasyPost,557
123,Jordi  Meeus ,BORA - hansgrohe,556
124,Vincenzo  Albanese ,EOLO-Kometa,543
125,Jay  Vine ,Alpecin - Deceuninck,540
126,Attila  Valter ,Groupama - FDJ,539
127,Max  Kanter ,Movistar Team,539
128,Phil  Bauhaus ,Bahrain - Victorious,538
129,Alessandro  Covi ,UAE Team Emirates,536
130,Bob  Jungels ,AG2R Citroën Team,531
131,Matteo  Sobrero ,Team BikeExchange - Jayco,530.3
132,Tobias Halland  Johannessen ,Uno-X Pro Cycling Team,530
133,Giulio  Ciccone ,Trek - Segafredo,526
134,Loïc  Vliegen ,Intermarché - Wanty - Gobert Matériaux,523
135,Andrea  Pasqualon ,Intermarché - Wanty - Gobert Matériaux,518
136,Filippo  Ganna ,INEOS Grenadiers,517.3
137,Gino  Mäder ,Bahrain - Victorious,516
138,Sandy  Dujardin ,TotalEnergies,516
139,Marco  Haller ,BORA - hansgrohe,513
140,Philippe  Gilbert ,Lotto Soudal,509
141,Michał  Kwiatkowski ,INEOS Grenadiers,508
142,Kasper  Asgreen ,Quick-Step Alpha Vinyl Team,503
143,Andreas  Leknessund ,Team DSM,501
144,Jan  Tratnik ,Bahrain - Victorious,495
145,Marc  Sarreau ,AG2R Citroën Team,494
146,Alexey  Lutsenko ,Astana Qazaqstan Team,490
147,Emanuel  Buchmann ,BORA - hansgrohe,486
148,Andrea  Bagioli ,Quick-Step Alpha Vinyl Team,485
149,Santiago  Buitrago ,Bahrain - Victorious,482
150,Luke  Plapp ,INEOS Grenadiers,474.7
151,Peter  Sagan ,TotalEnergies,468
152,Søren  Wærenskjold ,Uno-X Pro Cycling Team,467.8
153,Yves  Lampaert ,Quick-Step Alpha Vinyl Team,467
