Name,Team,Nationality,Length,Weight,Age,AVG,FLT,COB,HLL,MTN,SPR,ITT,GC,OR
Geoffrey Soupe,Team TotalEnergies,France,177,70,36,56,47,40,45,27,63,25,38,54
Steff Cras,Team TotalEnergies,Belgium,183,65,28,77,46,26,72,74,51,40,79,58
Fabien Doubey,Team TotalEnergies,France,174,62,31,53,40,30,57,39,43,36,43,55
Sandy Dujardin,Team TotalEnergies,France,178,0,27,77,68,72,76,33,75,20,37,88
Alexandre Delettre,Team TotalEnergies,France,170,62,27,69,59,48,73,31,61,20,50,81
Niklas Behrens,Team Visma | Lease a Bike,Germany,195,80,21,54,52,36,55,20,45,43,24,64
Matthew Brennan,Team Visma | Lease a Bike,Great Britain,0,0,19,54,45,28,43,31,60,27,28,57
Per Strand Hagenes,Team Visma | Lease a Bike,Norway,186,0,21,70,62,67,69,35,64,46,58,83
Wout van Aert,Team Visma | Lease a Bike,Belgium,190,78,30,94,96,95,90,78,93,93,51,95
Loe van Belle,Team Visma | Lease a Bike,Netherlands,184,0,23,48,45,41,42,26,49,34,29,52
Menno Huising,Team Visma | Lease a Bike,Netherlands,185,0,20,46,40,29,50,35,32,30,34,52
Tijmen Graat,Team Visma | Lease a Bike,Netherlands,176,0,22,47,34,20,50,42,32,22,40,44
Daniel McLay,Team Visma | Lease a Bike,Great Britain,187,72,33,72,63,64,43,23,81,28,35,71
Christophe Laporte,Team Visma | Lease a Bike,France,191,76,32,92,91,92,90,38,90,53,56,94
Jørgen Nordhagen,Team Visma | Lease a Bike,Norway,177,59,20,46,40,20,48,40,33,37,39,47
Cian Uijtdebroeks,Team Visma | Lease a Bike,Belgium,185,68,21,83,42,20,65,88,40,49,80,43
Tosh Van der Sande,Team Visma | Lease a Bike,Belgium,178,67,34,50,45,43,42,24,53,20,34,55
Tiesj Benoot,Team Visma | Lease a Bike,Belgium,190,72,30,89,86,91,91,64,74,28,51,94
Thomas Gloag,Team Visma | Lease a Bike,Great Britain,181,60,23,50,30,20,46,51,30,23,45,37
Wilco Kelderman,Team Visma | Lease a Bike,Netherlands,185,65,33,89,56,26,88,90,52,65,86,75
Julien Vermote,Team Visma | Lease a Bike,Belgium,179,74,35,48,40,43,40,23,49,20,33,54
Edoardo Affini,Team Visma | Lease a Bike,Italy,190,80,28,81,83,50,38,29,62,93,38,78
Matteo Jorgenson,Team Visma | Lease a Bike,United States,190,69,25,92,89,92,90,91,73,86,91,92
Simon Yates,Team Visma | Lease a Bike,Great Britain,172,58,32,90,65,20,89,90,54,76,89,83
Dylan van Baarle,Team Visma | Lease a Bike,Netherlands,189,78,32,80,73,86,72,49,53,47,40,88
Steven Kruijswijk,Team Visma | Lease a Bike,Netherlands,178,63,37,62,33,23,53,64,33,26,60,35
Axel Zingle,Team Visma | Lease a Bike,France,173,67,26,86,79,64,89,38,90,34,58,91
Sepp Kuss,Team Visma | Lease a Bike,United States,182,61,30,89,44,23,77,92,50,52,90,50
Jonas Vingegaard,Team Visma | Lease a Bike,Denmark,175,58,28,96,81,36,88,97,68,91,97,46
Olav Kooij,Team Visma | Lease a Bike,Netherlands,184,72,23,90,90,77,75,25,96,25,42,93
Bart Lemmen,Team Visma | Lease a Bike,Netherlands,180,0,29,71,47,29,77,53,48,41,61,65
Victor Campenaerts,Team Visma | Lease a Bike,Belgium,173,68,33,85,79,78,75,41,60,90,42,82
Ben Tulett,Team Visma | Lease a Bike,Great Britain,169,56,23,65,45,20,60,51,35,54,49,51
Attila Valter,Team Visma | Lease a Bike,Hungary,185,65,26,86,59,20,90,80,49,60,73,90
Djordje Djuric,Toscana Factory Team Vini Fantini,Serbia,193,78,24,35,36,20,35,25,34,32,28,34
Kyrylo Tsarenko,Toscana Factory Team Vini Fantini,Ukraine,0,0,24,46,38,20,49,34,37,20,32,53
Kristian Sbaragli,Toscana Factory Team Vini Fantini,Italy,175,74,34,65,47,23,72,32,52,20,40,73
Andrea Piras,Toscana Factory Team Vini Fantini,Italy,0,0,22,29,27,20,30,20,27,20,22,32
Yukiya Arashiro,Toscana Factory Team Vini Fantini,Japan,170,64,40,44,42,32,45,22,39,38,27,54
Luca Verrando,Toscana Factory Team Vini Fantini,Italy,0,0,20,22,22,20,23,20,21,20,20,23
Arnaud Tissières,Toscana Factory Team Vini Fantini,Switzerland,0,0,28,28,25,20,28,20,28,20,24,30
Valerio Conti,Toscana Factory Team Vini Fantini,Italy,172,61,31,54,40,20,56,44,41,23,48,52
Mark Stewart,Toscana Factory Team Vini Fantini,Great Britain,180,70,29,47,39,27,50,35,38,28,37,54
Roberto Gonzalez,Toscana Factory Team Vini Fantini,Panama,0,0,30,38,30,20,39,34,31,20,31,42
Dusan Rajovic,Toscana Factory Team Vini Fantini,Serbia,183,74,27,56,49,44,39,22,64,40,31,50
Felix Meo,Toscana Factory Team Vini Fantini,New Zealand,0,0,27,28,26,20,26,20,29,20,25,31
Carlos Samudio,Toscana Factory Team Vini Fantini,Panama,0,0,27,32,29,20,33,21,28,20,27,35
Alessandro Iacchi,Toscana Factory Team Vini Fantini,Italy,170,59,25,32,28,20,31,23,33,20,30,33
Davide Baldaccini,Toscana Factory Team Vini Fantini,Italy,176,0,26,41,35,20,39,40,36,20,40,40
Filippo Fortin,Toscana Factory Team Vini Fantini,Italy,183,78,35,45,41,20,32,21,50,20,31,35
Lorenzo Quartucci,Toscana Factory Team Vini Fantini,Italy,170,64,25,48,40,25,50,37,44,20,41,48
Alexandre Balmer,Toscana Factory Team Vini Fantini,Switzerland,191,70,24,50,40,32,56,31,36,23,35,58
Tommaso Nencini,Toscana Factory Team Vini Fantini,Italy,0,0,24,25,26,20,24,20,26,20,22,28
Julian Alaphilippe,Tudor Pro Cycling Team,France,173,62,32,85,79,55,91,58,73,40,60,91
Lucas Eriksson,Tudor Pro Cycling Team,Sweden,180,64,28,55,41,20,62,31,40,20,36,63
Aivaras Mikutis,Tudor Pro Cycling Team,Lithuania,184,0,22,44,44,32,36,23,30,48,30,45
Arvid de Kleijn,Tudor Pro Cycling Team,Netherlands,171,68,30,76,77,20,52,26,92,20,29,85
Roland Thalmann,Tudor Pro Cycling Team,Switzerland,178,61,31,45,34,20,47,40,34,29,37,47
Mathys Rondel,Tudor Pro Cycling Team,France,180,0,21,43,27,20,35,45,27,22,39,30
Lawrence Warbasse,Tudor Pro Cycling Team,United States,183,67,34,57,43,20,61,47,49,44,47,60
Matteo Trentin,Tudor Pro Cycling Team,Italy,179,74,35,89,87,90,84,32,90,50,58,91
Fabian Lienhard,Tudor Pro Cycling Team,Switzerland,183,73,31,66,55,69,49,26,68,20,37,69
Petr Kelemen,Tudor Pro Cycling Team,Czech Republic,192,70,24,45,38,30,37,25,48,33,32,51
Marc Hirschi,Tudor Pro Cycling Team,Switzerland,174,61,26,91,89,50,97,58,80,55,62,99
Marco Brenner,Tudor Pro Cycling Team,Germany,181,59,22,64,47,20,69,51,45,44,52,59
Michael Storer,Tudor Pro Cycling Team,Australia,174,63,27,83,46,20,78,84,41,40,80,68
Florian Stork,Tudor Pro Cycling Team,Germany,185,651,27,52,38,23,55,33,42,29,44,56
Fabian Weiss,Tudor Pro Cycling Team,Switzerland,181,0,22,46,41,22,34,32,33,45,29,45
Robin Froidevaux,Tudor Pro Cycling Team,Switzerland,183,71,26,56,44,27,40,25,67,23,34,51
Alexander Krieger,Tudor Pro Cycling Team,Germany,184,71,33,50,41,41,36,23,56,24,30,47
Mika Heming,Tudor Pro Cycling Team,Germany,184,68,24,45,38,20,33,25,50,25,34,46
Hannes Wilksch,Tudor Pro Cycling Team,Germany,181,62,23,43,31,20,48,29,30,26,33,47
Joel Suter,Tudor Pro Cycling Team,Switzerland,190,75,26,51,40,22,38,26,32,47,30,41
Yannis Voisard,Tudor Pro Cycling Team,Switzerland,0,56,26,66,43,20,64,58,35,50,65,51
Rick Pluimers,Tudor Pro Cycling Team,Netherlands,180,67,24,68,56,61,69,33,62,20,44,75
Marco Haller,Tudor Pro Cycling Team,Austria,178,72,33,76,66,66,76,39,75,25,42,87
Maikel Zijlaard,Tudor Pro Cycling Team,Netherlands,189,73,25,68,66,55,44,24,72,37,30,65
Jacob Eriksson,Tudor Pro Cycling Team,Sweden,182,0,25,46,40,37,47,23,44,20,29,55
Sebastian Kolze Changizi,Tudor Pro Cycling Team,Denmark,181,0,24,43,39,43,34,22,44,20,30,46
Luc Wirtgen,Tudor Pro Cycling Team,Luxembourg,180,63,26,49,37,23,54,33,36,20,38,53
Alberto Dainese,Tudor Pro Cycling Team,Italy,174,70,26,77,68,47,54,26,90,25,41,61
Arthur Kluckers,Tudor Pro Cycling Team,Luxembourg,192,71,24,55,49,31,41,24,38,60,38,53
Marius Mayrhofer,Tudor Pro Cycling Team,Germany,182,70,24,72,59,60,70,25,73,28,33,82
Rafal Majka,UAE Team Emirates XRG,Poland,173,62,35,86,47,20,81,89,42,37,79,68
Vegard Stake Laengen,UAE Team Emirates XRG,Norway,195,79,35,49,40,48,49,40,41,27,38,59
Jhonatan Narvaez,UAE Team Emirates XRG,Ecuador,174,65,27,87,77,87,89,68,79,20,62,87
Alessandro Covi,UAE Team Emirates XRG,Italy,180,66,26,66,50,32,74,43,51,20,35,74
Tadej Pogacar,UAE Team Emirates XRG,Slovenia,176,66,26,99,93,90,99,99,90,93,97,99
Brandon McNulty,UAE Team Emirates XRG,United States,183,69,26,93,89,23,90,84,64,93,86,90
Joao Almeida,UAE Team Emirates XRG,Portugal,178,63,26,94,73,30,80,95,55,90,92,58
Julius Johansen,UAE Team Emirates XRG,Denmark,188,77,25,56,48,36,43,25,43,48,35,47
Rune Herregodts,UAE Team Emirates XRG,Belgium,181,70,26,68,59,26,60,27,46,68,46,64
Tim Wellens,UAE Team Emirates XRG,Belgium,182,71,33,92,89,93,90,56,68,81,78,92
Mikkel Bjerg,UAE Team Emirates XRG,Denmark,191,78,26,88,90,91,67,51,63,92,54,90
Florian Vermeersch,UAE Team Emirates XRG,Belgium,193,85,25,82,78,87,74,30,60,51,52,87
Filippo Baroncini,UAE Team Emirates XRG,Italy,188,74,24,80,67,52,86,43,60,69,43,87
Juan Ayuso,UAE Team Emirates XRG,Spain,183,65,22,92,83,30,90,90,60,90,90,89
Igor Arrieta,UAE Team Emirates XRG,Spain,182,64,22,65,46,20,74,40,39,25,47,69
Rui Oliveira,UAE Team Emirates XRG,Portugal,183,66,28,77,65,70,68,27,81,20,37,80
Isaac del Toro,UAE Team Emirates XRG,Mexico,180,64,21,81,51,20,76,82,43,61,79,62
António Morgado,UAE Team Emirates XRG,Portugal,180,71,21,81,73,89,70,31,56,46,39,87
Jan Christen,UAE Team Emirates XRG,Switzerland,183,60,20,83,66,24,89,56,54,66,47,90
Nils Politt,UAE Team Emirates XRG,Germany,192,80,30,90,90,95,79,48,80,67,46,93
Pablo Torres,UAE Team Emirates XRG,Spain,174,0,19,47,33,20,42,50,31,31,36,36
Adam Yates,UAE Team Emirates XRG,Great Britain,173,58,32,94,66,31,89,96,60,80,92,85
Marc Soler,UAE Team Emirates XRG,Spain,186,68,31,86,46,27,72,90,46,54,80,50
Domen Novak,UAE Team Emirates XRG,Slovenia,181,70,29,50,34,20,46,52,35,26,44,44
Sebastian Molano,UAE Team Emirates XRG,Colombia,180,72,30,81,79,65,58,25,91,20,36,80
Pavel Sivakov,UAE Team Emirates XRG,France,188,70,27,89,64,26,90,89,52,60,86,89
Ivo Oliveira,UAE Team Emirates XRG,Portugal,185,68,28,63,57,25,40,24,62,51,34,55
Jay Vine,UAE Team Emirates XRG,Australia,184,69,29,85,75,20,63,83,44,91,56,69
Felix Großschartner,UAE Team Emirates XRG,Austria,184,64,31,83,69,23,81,72,54,83,69,79
Killian Verschuren,Unibet Tietema Rockets,France,165,54,22,41,29,20,42,40,30,20,32,46
Wessel Mouris,Unibet Tietema Rockets,Netherlands,0,0,22,48,48,26,35,23,40,53,34,49
Charlie Paige,Unibet Tietema Rockets,Great Britain,0,0,23,33,27,20,34,29,29,20,30,36
Sergio Meris,Unibet Tietema Rockets,Italy,180,0,23,43,36,20,48,26,33,20,26,48
Odd Christian Eiking,Unibet Tietema Rockets,Norway,181,75,30,72,45,26,79,60,49,31,46,77
Adrien Maire,Unibet Tietema Rockets,France,0,0,24,44,31,20,44,41,33,20,39,37
Adam Toupalik,Unibet Tietema Rockets,Czech Republic,175,65,28,51,43,31,55,28,45,35,33,55
Kevin Inkelaar,Unibet Tietema Rockets,Netherlands,181,64,27,26,23,20,25,26,24,20,26,26
Abram Stockman,Unibet Tietema Rockets,Belgium,182,67,28,52,46,32,40,24,57,32,29,59
Lander Loockx,Unibet Tietema Rockets,Belgium,186,71,27,55,47,58,48,43,37,20,46,51
Cedrik Bakke Christophersen,Unibet Tietema Rockets,Norway,0,0,23,41,31,20,44,32,30,20,36,40
Jelle Johannink,Unibet Tietema Rockets,Netherlands,0,0,28,51,47,50,52,25,41,20,35,59
Sebastian Nielsen,Unibet Tietema Rockets,Denmark,0,0,24,51,45,25,39,20,59,20,26,54
Andreas Stokbro Nielsen,Unibet Tietema Rockets,Denmark,183,70,27,50,48,50,46,28,50,24,34,56
Owen Geleijn,Unibet Tietema Rockets,Netherlands,186,0,24,41,38,37,39,23,40,20,28,49
Lukas Kubis,Unibet Tietema Rockets,Slovakia,175,70,24,57,54,21,54,32,58,44,37,61
Martijn Budding,Unibet Tietema Rockets,Netherlands,187,74,29,49,43,31,36,21,56,20,23,54
Hartthijs de Vries,Unibet Tietema Rockets,Netherlands,184,66,28,65,59,70,55,23,51,20,36,68
Joren Bloem,Unibet Tietema Rockets,Netherlands,0,0,25,55,51,33,37,20,64,20,26,59
Giovanni Carboni,Unibet Tietema Rockets,Italy,180,61,29,49,37,20,55,37,37,20,37,50
Davide Bomboi,Unibet Tietema Rockets,Belgium,179,72,24,61,52,38,40,20,72,20,22,64
Baptiste Huyet,Unibet Tietema Rockets,France,0,0,24,37,28,20,40,31,26,20,33,36
Axel Huens,Unibet Tietema Rockets,France,0,0,23,55,48,50,56,26,49,20,33,64
Tomas Kopecky,Unibet Tietema Rockets,Czech Republic,191,73,24,43,42,36,39,23,40,20,36,45
Zeb Kyffin,Unibet Tietema Rockets,Great Britain,188,72,26,41,37,28,41,23,38,31,33,47
Magnus Cort,Uno-X Mobility,Denmark,184,68,32,84,69,43,89,59,77,58,62,88
Søren Wærenskjold,Uno-X Mobility,Norway,195,92,24,90,87,89,64,28,90,88,59,89
Magnus Kulset,Uno-X Mobility,Norway,174,58,24,35,28,20,37,30,29,20,30,38
Carl-Frederik Bevort,Uno-X Mobility,Denmark,184,0,21,44,42,20,37,20,45,40,23,52
Stian Fredheim,Uno-X Mobility,Norway,184,72,21,68,56,44,39,22,80,20,27,73
Simon Dalby,Uno-X Mobility,Denmark,0,0,22,51,33,25,58,37,32,20,35,55
Johannes Kulset,Uno-X Mobility,Norway,175,58,20,57,40,32,59,56,41,31,48,58
Henrik Pedersen,Uno-X Mobility,Denmark,181,0,20,42,43,29,36,23,43,36,30,47
Amund Grøndahl Jansen,Uno-X Mobility,Norway,187,83,30,39,33,40,30,23,40,24,31,41
Markus Hoelgaard,Uno-X Mobility,Norway,188,74,30,74,55,56,82,31,51,20,36,86
Jonas Abrahamsen,Uno-X Mobility,Norway,183,78,29,88,84,91,83,42,80,32,43,91
Anders Skaarseth,Uno-X Mobility,Norway,186,0,29,52,43,54,51,27,40,20,30,60
Erlend Blikra,Uno-X Mobility,Norway,186,75,28,64,53,28,38,21,79,20,26,65
Rasmus Tiller,Uno-X Mobility,Norway,187,84,28,86,85,91,78,32,69,35,42,90
Rasmus Bøgh Wallin,Uno-X Mobility,Denmark,196,78,29,49,45,36,40,22,53,28,31,56
Alexander Kristoff,Uno-X Mobility,Norway,183,78,37,91,90,89,82,32,94,24,43,92
Andreas Kron,Uno-X Mobility,Denmark,177,63,26,77,54,20,87,57,49,20,42,85
Erik Resell,Uno-X Mobility,Norway,192,0,28,62,54,65,52,24,52,20,30,70
Fredrik Dversnes,Uno-X Mobility,Norway,0,0,27,68,56,42,72,34,58,37,50,81
Andreas Leknessund,Uno-X Mobility,Norway,186,72,25,73,50,23,73,64,45,59,73,63
Jonas Iversby Hvideberg,Uno-X Mobility,Norway,185,0,25,41,33,28,39,31,43,20,34,45
Sakarias Koller Løland,Uno-X Mobility,Norway,180,0,23,40,39,23,37,28,42,20,31,43
Tobias Halland Johannessen,Uno-X Mobility,Norway,176,62,25,85,69,70,90,76,61,31,64,89
Anders Halland Johannessen,Uno-X Mobility,Norway,176,0,25,45,33,20,49,36,33,20,35,46
Ådne Holter,Uno-X Mobility,Norway,184,0,24,56,40,20,62,36,36,29,44,59
Martin Urianstad Bugge,Uno-X Mobility,Norway,0,0,25,57,47,50,59,31,51,20,37,65
William Blume Levy,Uno-X Mobility,Denmark,192,0,24,57,49,52,50,27,57,20,29,68
Matteo Scalco,VF Group-Bardiani CSF-Faizanè,Italy,0,0,20,42,35,24,46,32,31,20,32,48
Alessandro Pinarello,VF Group-Bardiani CSF-Faizanè,Italy,0,0,21,56,41,20,63,32,37,21,38,64
Mattia Pinazzi,VF Group-Bardiani CSF-Faizanè,Italy,0,0,23,51,43,24,35,22,61,20,26,34
Federico Biagini,VF Group-Bardiani CSF-Faizanè,Italy,0,0,21,36,35,20,39,24,31,25,24,41
Filippo Magli,VF Group-Bardiani CSF-Faizanè,Italy,0,0,25,63,50,33,66,32,59,20,43,72
Alessio Martinelli,VF Group-Bardiani CSF-Faizanè,Italy,170,0,23,47,36,20,53,31,35,24,32,53
Lorenzo Conforti,VF Group-Bardiani CSF-Faizanè,Italy,0,0,20,49,43,20,40,23,56,20,30,45
Luca Paletti,VF Group-Bardiani CSF-Faizanè,Italy,0,0,20,36,32,24,38,29,32,20,32,39
Luca Covili,VF Group-Bardiani CSF-Faizanè,Italy,180,58,27,62,39,20,63,60,38,27,59,57
Alex Tolio,VF Group-Bardiani CSF-Faizanè,Italy,0,0,24,49,36,20,53,41,33,20,40,52
Vicente Rojas,VF Group-Bardiani CSF-Faizanè,Chile,169,0,22,38,31,20,40,34,31,20,33,39
Filippo Turconi,VF Group-Bardiani CSF-Faizanè,Italy,0,0,19,37,31,20,40,26,29,20,24,42
Andrea Montagner,VF Group-Bardiani CSF-Faizanè,Italy,0,0,18,23,23,20,20,20,20,25,20,23
Santiago Ferraro,VF Group-Bardiani CSF-Faizanè,Italy,0,0,18,20,20,20,20,20,20,20,20,20
Martin Marcellusi,VF Group-Bardiani CSF-Faizanè,Italy,172,62,24,60,48,20,65,34,56,20,37,69
Manuele Tarozzi,VF Group-Bardiani CSF-Faizanè,Italy,0,0,26,53,38,20,47,53,48,20,45,42
Luca Colnaghi,VF Group-Bardiani CSF-Faizanè,Italy,171,63,26,61,49,24,42,33,74,20,31,50
Enrico Zanoncello,VF Group-Bardiani CSF-Faizanè,Italy,170,64,27,72,60,23,48,34,86,20,40,45
Filippo Fiorelli,VF Group-Bardiani CSF-Faizanè,Italy,0,0,30,70,58,27,66,38,78,22,35,73
Luca De Meester,Wagner Bazin WB,Belgium,187,73,25,53,47,52,37,22,56,20,27,61
Axandre Van Petegem,Wagner Bazin WB,Belgium,184,67,23,29,28,25,25,20,31,20,22,32
Giacomo Villa,Wagner Bazin WB,Italy,0,0,23,48,39,20,53,26,42,20,30,55
Jelle Vermoote,Wagner Bazin WB,Belgium,185,73,26,42,37,43,37,23,40,20,24,48
Michiel Lambrecht,Wagner Bazin WB,Belgium,191,75,21,40,36,30,39,23,41,20,32,47
Marco Tizza,Wagner Bazin WB,Italy,173,58,32,62,46,20,69,30,49,20,37,71
Kenneth Van Rooy,Wagner Bazin WB,Belgium,179,70,31,63,53,52,52,29,67,20,32,71
Leander Van Hautegem,Wagner Bazin WB,Belgium,186,64,21,37,34,26,37,28,37,20,29,43
Henri-Francois Haquin,Wagner Bazin WB,France,185,74,22,29,29,20,30,20,30,20,24,32
Victor Papon,Wagner Bazin WB,France,175,69,24,25,26,20,26,20,24,20,20,28
Floris De Tier,Wagner Bazin WB,Belgium,172,60,33,60,40,36,68,34,39,20,43,67
Pierre Barbier,Wagner Bazin WB,France,176,69,27,64,58,38,46,22,74,20,25,70
Davide Persico,Wagner Bazin WB,Italy,175,65,23,58,49,26,42,22,70,20,26,54
Jens Reynders,Wagner Bazin WB,Belgium,184,76,26,58,51,56,48,24,58,20,27,70
Sasha Weemaes,Wagner Bazin WB,Belgium,177,73,26,59,50,24,34,21,75,20,27,51
Johan Meens,Wagner Bazin WB,Belgium,174,62,25,54,41,23,59,26,43,20,38,59
Jocelyn Baguelin,Wagner Bazin WB,France,178,72,25,26,25,20,27,20,24,20,25,27
Quentin Bezza,Wagner Bazin WB,France,184,76,26,44,36,25,30,22,32,40,27,36
Cériel Desal,Wagner Bazin WB,Belgium,189,76,25,68,58,73,49,23,58,20,31,76
Louka Matthys,Wagner Bazin WB,Belgium,182,62,25,47,33,20,52,28,36,20,31,53
Loic Vliegen,Wagner Bazin WB,Belgium,184,70,31,56,48,58,54,27,44,24,36,63
Tom Portsmouth,Wagner Bazin WB,Great Britain,181,70,23,31,29,22,27,21,33,20,24,37
Mike Teunissen,XDS Astana Team,Netherlands,184,73,32,88,85,90,78,34,90,29,51,91
Alberto Bettiol,XDS Astana Team,Italy,180,69,31,88,81,81,90,44,76,75,58,91
Matteo Malucelli,XDS Astana Team,Italy,171,68,31,68,59,24,43,28,82,20,28,45
Darren van Bekkum,XDS Astana Team,Netherlands,176,62,22,41,33,20,42,41,30,20,35,40
Davide Ballerini,XDS Astana Team,Italy,183,71,30,75,65,65,58,25,82,32,38,75
Aaron Gate,XDS Astana Team,New Zealand,181,71,34,63,55,27,55,26,55,52,53,56
Florian Kajamini,XDS Astana Team,Italy,0,0,21,41,32,20,44,38,30,20,31,45
Fausto Masnada,XDS Astana Team,Italy,182,65,31,59,42,20,66,43,39,31,40,67
Alessandro Romele,XDS Astana Team,Italy,186,71,21,45,45,27,45,30,42,29,40,44
Haoyu Su,XDS Astana Team,China,179,64,24,34,32,20,32,28,28,33,28,35
Davide Toneatti,XDS Astana Team,Italy,180,65,23,45,36,20,48,39,34,20,38,46
Nicolas Vinokurov,XDS Astana Team,Kazakhstan,184,65,22,38,36,20,38,31,32,35,36,37
Martin López,XDS Astana Team,Ecuador,160,55,24,56,32,20,52,54,32,20,56,42
Lorenzo Fortunato,XDS Astana Team,Italy,170,57,28,85,41,20,79,87,40,32,85,63
Simone Velasco,XDS Astana Team,Italy,170,59,29,81,62,20,89,57,66,47,50,90
Cees Bol,XDS Astana Team,Netherlands,194,83,29,75,64,47,56,28,86,39,43,74
Nicola Conci,XDS Astana Team,Italy,185,68,28,64,42,20,69,57,40,20,53,57
Max Kanter,XDS Astana Team,Germany,176,68,27,78,68,49,65,27,89,20,35,79
Cristian Scaroni,XDS Astana Team,Italy,175,63,27,76,54,20,85,58,54,39,51,79
Anton Kuzmin,XDS Astana Team,Kazakhstan,186,66,28,41,38,20,42,33,33,37,39,42
Ide Schelling,XDS Astana Team,Netherlands,182,66,26,55,47,52,55,30,56,34,33,56
Anthon Charmig,XDS Astana Team,Denmark,182,66,26,58,42,43,63,44,42,28,47,57
Clément Champoussin,XDS Astana Team,France,180,61,26,80,55,33,90,61,53,32,52,89
Sergio Higuita,XDS Astana Team,Colombia,166,57,27,82,52,20,86,74,51,37,74,81
Harold Tejada,XDS Astana Team,Colombia,180,63,27,77,55,20,77,71,48,75,62,48
Michele Gazzoli,XDS Astana Team,Italy,180,76,25,47,40,33,42,27,52,20,31,44
Henok Mulubrhan,XDS Astana Team,Eritrea,176,60,25,66,51,20,67,61,53,35,57,64
Yevgeniy Fedorov,XDS Astana Team,Kazakhstan,193,80,24,72,66,76,52,28,59,66,34,76
Diego Ulissi,XDS Astana Team,Italy,175,63,35,87,66,20,90,79,62,52,78,90
Wout Poels,XDS Astana Team,Netherlands,186,66,37,86,41,20,78,90,42,32,79,56
